model,fam,id,ood,eff_robust,n
tabicl,icl,0.893539487318161,0.8035099931083753,0.1126282948435989,88
logreg,linear,0.8527680957328847,0.780071703623004,0.10626259777849546,88
tabpfn_client,icl,0.8902442443630043,0.787756815595793,0.06845474676110114,88
catboost,gbdt,0.882638245568661,0.7701603792378056,-0.0003439727511658901,88
hist_gbdt,gbdt,0.8753083493359708,0.7525759197409592,-0.04922188300048371,88
xgboost,gbdt,0.8736032187562952,0.7481982846085947,-0.05669674202684525,88
