model,covariate_shift,label_noise
catboost,0.9198728696922763,0.950248261830276
hist_gbdt,0.9148184594606562,0.9335388626103049
logreg,0.991184130629193,0.9620321280760695
tabicl,0.9399966405515797,0.9719527660670111
tabpfn_client,0.9286281937386316,0.9719667057727025
xgboost,0.922572610125108,0.9262535028089979
