shift_axis,mean_auc_at_0,mean_auc_at_max,mean_drop,drop_per_unit_lambda,n_cells
covariate_shift,0.9943561169394283,0.8624193282458736,0.1319367886935546,0.32984197173388646,180
label_noise,0.9943561169394283,0.8996047266183999,0.09475139032102832,0.2368784758025708,180
missingness_shift,0.9943561169394283,0.9203473343242,0.0740087826152282,0.1850219565380705,180
rare_category_shift,0.9829012345679011,0.9641589506172838,0.018742283950617278,0.046855709876543195,36
class_imbalance,0.9943561169394283,0.9927197341447774,0.001636382794650874,0.004090956986627185,180
context_budget,0.9943561169394283,0.9928319281405743,0.0015241887988540574,0.0038104719971351433,180
