model,covariate_shift,label_noise
catboost,0.10909090909090909,0.04318181818181818
hist_gbdt,0.07500000000000001,0.05454545454545456
logreg,0.08409090909090909,0.018181818181818184
tabicl,0.1215909090909091,0.07727272727272728
tabpfn_client,0.11136363636363637,0.07613636363636364
xgboost,0.08750000000000001,0.04886363636363637
