model,class_imbalance,context_budget,covariate_shift,label_noise,missingness_shift,rare_category_shift
catboost,0.26,0.29000000000000004,0.06000000000000001,0.04,0.11000000000000001,0.3
hist_gbdt,0.16,0.16,0.02,0.06000000000000001,0.06999999999999999,0.0
logreg,0.24000000000000005,0.24000000000000005,0.06000000000000001,0.02,0.12,0.0
tabicl,0.4,0.4,0.15,0.06000000000000001,0.15,0.4
tabpfn_client,0.4,0.4,0.1,0.08,0.16,0.4
xgboost,0.26,0.25,0.02,0.06,0.11000000000000001,0.0
