shift_axis,mean_auc_at_0,mean_auc_at_max,mean_drop,drop_per_unit_lambda,n_cells
label_noise,0.93348577570075,0.8144466830171537,0.11903909268359618,0.29759773170899045,1584
covariate_shift,0.93348577570075,0.8178949889437371,0.11559078675701283,0.28897696689253205,1584
