model,class_imbalance,context_budget,covariate_shift,label_noise,missingness_shift,rare_category_shift
catboost,0.9976184007988822,0.9977281654218622,0.9326332011682952,0.966140018782632,0.9659263415630743,0.9891565055059314
hist_gbdt,0.9983950427358657,0.9985555094053847,0.9284814950018898,0.947853189993013,0.9612939696756115,0.9888331567031169
logreg,0.9991837013879967,0.9994665555485354,0.988782645572385,0.9593856204987492,0.9703674597724051,0.9903965484943567
tabicl,0.9998893948182992,0.9998281008358425,0.9629216785357884,0.9931157404169678,0.9633473822790336,0.991716832600139
tabpfn_client,0.9997795626307318,0.9997787842740637,0.9643719055652091,0.9938734843855006,0.964447238292216,0.9893592982293501
xgboost,0.9970324461895285,1.0001457425839502,0.9401502745502549,0.9418897354659931,0.9592914465667078,0.9867294929335371
