model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
xgboost,gbdt,breast_cancer,0,0.4,ok,,398,159,1.0,0.6005025125628141,0.6666666666666666,0.7149532710280374,0.33333333333333337,1.0,0.0,0.9829170104092771
catboost,gbdt,breast_cancer,0,0.0,ok,,398,0,1.0,1.0,0.9590643274853801,0.994304906542056,0.040935672514619936,,,
catboost,gbdt,breast_cancer,0,0.05,ok,,398,20,0.9949748743718593,0.9547738693467337,0.9649122807017544,0.9948890186915889,0.030062593670104887,0.9,0.1,0.6236776179101111
catboost,gbdt,breast_cancer,0,0.1,ok,,398,40,0.9748743718592965,0.9246231155778895,0.9766081871345029,0.9966413551401869,-0.0017338152752064406,0.75,0.25,0.6028015222753333
catboost,gbdt,breast_cancer,0,0.2,ok,,398,80,0.9673366834170855,0.8316582914572864,0.9532163742690059,0.9962032710280374,0.014120309148079602,0.8375,0.1625,0.6186065951458858
catboost,gbdt,breast_cancer,0,0.3,ok,,398,119,0.9748743718592965,0.7211055276381909,0.8538011695906432,0.9230432242990654,0.12107320226865326,0.9243697478991597,0.07563025210084033,0.6340392873644711
catboost,gbdt,breast_cancer,0,0.4,ok,,398,159,0.9949748743718593,0.6055276381909548,0.783625730994152,0.8427278037383178,0.21134914337770727,0.9874213836477987,0.012578616352201259,0.6902614930088549
tabicl,icl,breast_cancer,0,0.0,ok,,398,0,1.0,1.0,0.9649122807017544,0.9966413551401869,0.03508771929824561,,,
tabicl,icl,breast_cancer,0,0.05,ok,,398,20,0.9522613065326633,0.9874371859296482,0.9824561403508771,0.998393691588785,-0.030194833818213862,0.15,0.85,0.31935214921832084
tabicl,icl,breast_cancer,0,0.1,ok,,398,40,0.9045226130653267,0.9849246231155779,0.9590643274853801,0.9986857476635513,-0.0545417144200534,0.1,0.9,0.2710564523935318
tabicl,icl,breast_cancer,0,0.2,ok,,398,80,0.8492462311557789,0.9396984924623115,0.9649122807017544,0.9988317757009346,-0.11566604954597548,0.275,0.725,0.4586390186101198
tabicl,icl,breast_cancer,0,0.3,ok,,398,119,0.6733668341708543,0.9271356783919598,0.9298245614035088,0.972838785046729,-0.2564577272326545,0.07563025210084033,0.9243697478991597,0.3674756664187968
tabicl,icl,breast_cancer,0,0.4,ok,,398,159,0.8592964824120602,0.7361809045226131,0.8947368421052632,0.9573598130841122,-0.035440359693202916,0.6540880503144654,0.34591194968553457,0.5270458669782435
tabpfn,icl,breast_cancer,0,0.0,ok,,398,0,1.0,1.0,0.9766081871345029,0.9979556074766355,0.023391812865497075,,,
tabpfn,icl,breast_cancer,0,0.05,ok,,398,20,1.0,0.949748743718593,0.9883040935672515,0.9985397196261683,0.011695906432748537,1.0,0.0,0.9347655951976777
tabpfn,icl,breast_cancer,0,0.1,ok,,398,40,0.9974874371859297,0.9020100502512562,0.9707602339181286,0.9973714953271028,0.026727203267801092,0.975,0.025,0.8065035432577133
tabpfn,icl,breast_cancer,0,0.2,ok,,398,80,1.0,0.7989949748743719,0.9649122807017544,0.9985397196261683,0.03508771929824561,1.0,0.0,0.9669730260968208
