dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
GesturePhaseSegmentation,tabpfn_client,icl,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.5790006752194463,0.8377845962847547,1.0655004100354635,0.6620326275426243,0.04153058211821776,0.17315880529615021,1000,,,False,,
GesturePhaseSegmentation,tabpfn_client,icl,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.37677245104659013,0.7604968715601595,1.3460731189329107,0.8363622532646326,0.08345326971751378,0.05509044278015181,1000,,,True,nll,
GesturePhaseSegmentation,tabpfn_client,icl,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3149898717083052,0.6919743426679825,1.8321296466701502,1.1383661541185226,0.2389522952325507,-0.09986080459202723,1000,,,True,ece;nll,
GesturePhaseSegmentation,tabpfn_client,icl,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.28933153274814316,0.6098318690131224,2.9769152877445326,1.8496614655002572,0.5044336658209424,-0.39894428874745136,1000,,,True,ece;nll,
GesturePhaseSegmentation,tabpfn_client,icl,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.30722484807562456,0.6156772563066379,2.570982290776333,1.5974411133934339,0.2813545966376011,-0.27393248642688334,1000,,,True,ece;nll,
GesturePhaseSegmentation,tabpfn_client,icl,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.28190411883862254,0.5954778601350046,3.133577312822892,1.9470010546002958,0.4073004577437979,-0.41485753905580336,1000,,,True,ece;nll,
GesturePhaseSegmentation,tabpfn_client,icl,label_noise,0.0,21559019,train_only,True,low,True,ok,,0.5790006752194463,0.8377845962847547,1.0655004100354635,0.6620326275426243,0.04153058211821776,0.17315880529615021,1000,,,False,,
GesturePhaseSegmentation,tabpfn_client,icl,label_noise,0.05,1868621072,train_only,True,low,True,ok,,0.5776502363268062,0.8339993664951244,1.0775959860246243,0.6695480314583103,0.05172256035356812,0.1673383922141077,1000,,,False,,
GesturePhaseSegmentation,tabpfn_client,icl,label_noise,0.1,4024946937,train_only,True,low,True,ok,,0.5317353139770425,0.8067610371495695,1.1683784327469886,0.725954337051712,0.04472788724965179,0.13539478153346177,1001,,,False,,
GesturePhaseSegmentation,tabpfn_client,icl,label_noise,0.2,948246684,train_only,True,low,True,ok,,0.5391627278865632,0.7926408953656807,1.2059102076735388,0.7492741399696062,0.09916072046647079,0.1136843364767967,1000,,,False,,
GesturePhaseSegmentation,tabpfn_client,icl,label_noise,0.3,1420310000,train_only,True,low,True,ok,,0.5006752194463201,0.7761047083170329,1.2774321959892945,0.7937132498993495,0.09075168519219597,0.09047361881966544,1000,,,True,nll,
GesturePhaseSegmentation,tabpfn_client,icl,label_noise,0.4,2189272610,train_only,True,low,True,ok,,0.46455097906819715,0.7472568597606533,1.381084248900426,0.8581158914118568,0.13268220404410225,0.04725133954408073,999,,,True,ece;nll,
MiceProtein,tabpfn_client,icl,covariate_shift,0.0,1840962595,test_only,True,low,True,ok,,1.0,1.0,0.0020213198633379447,0.00097204938096267,0.0015634744503534275,0.4993956902956405,756,,,False,,
MiceProtein,tabpfn_client,icl,covariate_shift,0.05,2751999018,test_only,True,low,True,ok,,1.0,1.0,0.0018772282846350357,0.0009027559789531539,0.0015803833674752881,0.499413096532819,756,,,False,,
MiceProtein,tabpfn_client,icl,covariate_shift,0.1,3829923467,test_only,True,low,True,ok,,0.9969135802469136,0.9999800876144962,0.014200701098383029,0.0068290936839278844,0.009754266252053377,0.49553048634652164,756,,,False,,
MiceProtein,tabpfn_client,icl,covariate_shift,0.2,192904173,test_only,True,low,True,ok,,0.9722222222222222,0.9996311037771832,0.0907696365016931,0.0436509681480955,0.03092756133849483,0.4764234169432198,756,,,False,,
MiceProtein,tabpfn_client,icl,covariate_shift,0.3,4159115833,test_only,True,low,True,ok,,0.9259259259259259,0.9978791025263694,0.31818410225103805,0.1530142088024265,0.14851359307937387,0.4125395935165154,756,,,True,ece,
MiceProtein,tabpfn_client,icl,covariate_shift,0.4,1313214229,test_only,True,low,True,ok,,0.7561728395061729,0.9903169989305118,0.6170644940453877,0.29674529515597936,0.11466765858149598,0.34807975528851204,756,,,True,ece,
MiceProtein,tabpfn_client,icl,label_noise,0.0,1806994671,train_only,True,low,True,ok,,1.0,1.0,0.0020213198633379447,0.00097204938096267,0.0015634744503534275,0.4993956902956405,756,,,False,,
MiceProtein,tabpfn_client,icl,label_noise,0.05,180589592,train_only,True,low,True,ok,,0.9969135802469136,1.0,0.04698032852136561,0.022592762325702835,0.0434015289213517,0.4840789025550558,756,,,False,,
MiceProtein,tabpfn_client,icl,label_noise,0.1,2534801200,train_only,True,low,True,ok,,0.9938271604938271,0.9999900438072481,0.11076067109343113,0.053264623637342225,0.08869003125460796,0.4653531960644866,756,,,False,,
MiceProtein,tabpfn_client,icl,label_noise,0.2,3311274085,train_only,True,low,True,ok,,0.9938271604938271,0.9999701314217444,0.2188189535200131,0.10522967303194516,0.1796860175035559,0.43155751466138986,756,,,True,ece,
MiceProtein,tabpfn_client,icl,label_noise,0.3,2581586098,train_only,True,low,True,ok,,0.9722222222222222,0.9998920594454821,0.3747186072004871,0.18020155877898741,0.271456982008766,0.38744369010380264,756,,,True,ece,
MiceProtein,tabpfn_client,icl,label_noise,0.4,3498261245,train_only,True,low,True,ok,,0.9783950617283951,0.9997754404717853,0.5769925290988464,0.2774747534536289,0.39469211608830806,0.3344998141706338,756,,,True,ece,
PhishingWebsites,tabpfn_client,icl,covariate_shift,0.0,244430498,test_only,False,high,True,ok,,0.9487488694603557,0.991231229903981,0.1196614987633446,0.17263505085121808,0.010670905511273556,0.4353185645278265,1000,,,False,,
PhishingWebsites,tabpfn_client,icl,covariate_shift,0.05,2225126729,test_only,False,high,True,ok,,0.9493518239372928,0.9912319665278131,0.1220879818936582,0.17613572603012226,0.0095667357025475,0.43457989692578236,1000,,,False,,
PhishingWebsites,tabpfn_client,icl,covariate_shift,0.1,3147618039,test_only,False,high,True,ok,,0.9544769369912571,0.9917958520712019,0.11613971209355105,0.16755418668763808,0.006397312170696847,0.43875437033317843,1000,,,False,,
