calibration_share,margin,lambda0_fail_gbdt_max,lambda0_fail_icl_max,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn_client,aure_xgboost,order
0.0,0.0068181818181818205,0.3409090909090909,0.13636363636363635,0.09715909090909092,0.09545454545454546,0.09090909090909091,0.10454545454545455,0.10397727272727274,0.09602272727272729,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.1,0.0068181818181818205,0.36363636363636365,0.13636363636363635,0.09545454545454546,0.08522727272727272,0.07897727272727273,0.10454545454545455,0.10227272727272728,0.0903409090909091,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.2,0.010227272727272724,0.38636363636363635,0.13636363636363635,0.0903409090909091,0.07613636363636364,0.07556818181818183,0.10056818181818182,0.10113636363636364,0.08238636363636363,tabpfn_client|tabicl|catboost|xgboost|hist_gbdt|logreg
0.3,0.0062500000000000056,0.4090909090909091,0.13636363636363635,0.08636363636363636,0.07386363636363637,0.06477272727272727,0.09659090909090909,0.09261363636363637,0.07500000000000001,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.4,0.007386363636363635,0.4318181818181818,0.13636363636363635,0.08068181818181819,0.06704545454545455,0.056818181818181816,0.09375,0.08806818181818182,0.07329545454545455,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.5,0.004545454545454547,0.4318181818181818,0.13636363636363635,0.07613636363636364,0.06477272727272727,0.05113636363636364,0.08636363636363636,0.08068181818181819,0.06818181818181818,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.6,0.0011363636363636298,0.45454545454545453,0.1590909090909091,0.07272727272727274,0.0625,0.04488636363636364,0.08181818181818182,0.07386363636363637,0.06477272727272727,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.7,0.0028409090909090884,0.5,0.1590909090909091,0.06761363636363636,0.05,0.03863636363636364,0.07670454545454546,0.07045454545454545,0.060227272727272727,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.8,0.006249999999999992,0.5227272727272727,0.1590909090909091,0.06306818181818183,0.04772727272727273,0.03806818181818182,0.07556818181818183,0.06931818181818182,0.05738636363636363,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.9,0.0028409090909090884,0.5227272727272727,0.1590909090909091,0.06136363636363637,0.04602272727272727,0.03806818181818182,0.07329545454545455,0.06420454545454546,0.05625,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
1.0,0.0022727272727272735,0.5454545454545454,0.1590909090909091,0.05965909090909091,0.04261363636363636,0.03636363636363637,0.07272727272727274,0.061931818181818185,0.051704545454545454,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
