model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabicl,0.08636363636363636,0.09602272727272729,88,0.11041666666666668,0.1136,24
tabpfn_client,0.08068181818181819,0.08920454545454547,88,0.10000000000000002,0.1364,24
catboost,0.07613636363636364,0.09715909090909092,88,0.08958333333333333,0.1364,24
xgboost,0.06818181818181818,0.11420454545454546,88,0.12083333333333335,0.4318,24
hist_gbdt,0.06477272727272727,0.1215909090909091,88,0.11458333333333333,0.4318,24
logreg,0.05113636363636364,0.12386363636363637,88,0.08125,0.4318,24
