model,aure_published_baselines,aure_uncapped_baselines,lambda0_fail_published,lambda0_fail_uncapped
tabicl,0.08055555555555555,0.10185185185185183,0.1111111111111111,0.037037037037037035
tabpfn_client,0.07685185185185184,0.09814814814814815,0.1111111111111111,0.037037037037037035
xgboost,0.08703703703703704,0.08703703703703704,0.3333333333333333,0.3333333333333333
hist_gbdt,0.08703703703703702,0.08703703703703702,0.2962962962962963,0.2962962962962963
catboost,0.08425925925925926,0.08425925925925926,0.07407407407407407,0.07407407407407407
logreg,0.04537037037037037,0.04537037037037037,0.48148148148148145,0.48148148148148145
