model,aure,n_envelopes,aure_covariate_shift,aure_label_noise
catboost,0.08425925925925926,54,0.1222222222222222,0.04629629629629631
hist_gbdt,0.08703703703703702,54,0.1037037037037037,0.07037037037037037
logreg,0.04537037037037037,54,0.07962962962962962,0.011111111111111112
tabicl,0.10185185185185183,54,0.12222222222222223,0.08148148148148147
tabpfn_client,0.09814814814814815,54,0.11851851851851852,0.07777777777777778
xgboost,0.08703703703703704,54,0.10555555555555554,0.06851851851851852
