model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
tabpfn_client,churn,label_noise,0.1,6,3,0.4
tabpfn_client,cmc,covariate_shift,0.0,6,6,0.4
tabpfn_client,cmc,label_noise,0.0,6,6,0.4
tabpfn_client,dna,covariate_shift,0.4,6,0,0.4
tabpfn_client,dna,label_noise,0.05,6,4,0.4
tabpfn_client,first-order-theorem-proving,covariate_shift,0.0,6,5,0.4
tabpfn_client,first-order-theorem-proving,label_noise,0.2,6,2,0.4
tabpfn_client,kc1,covariate_shift,0.0,6,5,0.4
tabpfn_client,kc1,label_noise,0.1,6,3,0.4
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4
tabpfn_client,kr-vs-kp,label_noise,0.05,6,4,0.4
tabpfn_client,mfeat-factors,covariate_shift,0.2,6,2,0.4
tabpfn_client,mfeat-factors,label_noise,0.1,6,3,0.4
tabpfn_client,mfeat-fourier,covariate_shift,0.1,6,3,0.4
tabpfn_client,mfeat-fourier,label_noise,0.1,6,3,0.4
tabpfn_client,mfeat-karhunen,covariate_shift,0.2,6,2,0.4
tabpfn_client,mfeat-karhunen,label_noise,0.1,6,3,0.4
tabpfn_client,mfeat-morphological,covariate_shift,0.0,6,5,0.4
tabpfn_client,mfeat-morphological,label_noise,0.1,6,3,0.4
tabpfn_client,mfeat-zernike,covariate_shift,0.1,6,3,0.4
tabpfn_client,mfeat-zernike,label_noise,0.1,6,3,0.4
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4
tabpfn_client,ozone-level-8hr,covariate_shift,0.2,6,2,0.4
tabpfn_client,ozone-level-8hr,label_noise,0.05,6,4,0.4
tabpfn_client,pc3,covariate_shift,0.05,6,4,0.4
tabpfn_client,pc3,label_noise,0.05,6,4,0.4
tabpfn_client,pc4,covariate_shift,0.0,6,5,0.4
tabpfn_client,pc4,label_noise,0.05,6,4,0.4
tabpfn_client,pendigits,covariate_shift,0.05,6,4,0.4
tabpfn_client,pendigits,label_noise,0.1,6,3,0.4
tabpfn_client,phoneme,covariate_shift,0.0,6,5,0.4
tabpfn_client,phoneme,label_noise,0.1,6,3,0.4
tabpfn_client,satimage,covariate_shift,0.05,6,4,0.4
tabpfn_client,satimage,label_noise,0.1,6,3,0.4
tabpfn_client,segment,covariate_shift,0.0,6,5,0.4
tabpfn_client,segment,label_noise,0.1,6,3,0.4
tabpfn_client,spambase,covariate_shift,0.0,6,5,0.4
tabpfn_client,spambase,label_noise,0.05,6,4,0.4
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4
tabpfn_client,splice,label_noise,0.05,6,4,0.4
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4
tabpfn_client,steel-plates-fault,label_noise,0.05,6,4,0.4
tabpfn_client,texture,covariate_shift,0.2,6,2,0.4
tabpfn_client,texture,label_noise,0.1,6,3,0.4
tabpfn_client,wall-robot-navigation,covariate_shift,0.0,6,5,0.4
tabpfn_client,wall-robot-navigation,label_noise,0.05,6,4,0.4
xgboost,GesturePhaseSegmentation,covariate_shift,0.0,6,6,0.4
xgboost,GesturePhaseSegmentation,label_noise,0.0,6,4,0.4
xgboost,PhishingWebsites,covariate_shift,0.4,6,0,0.4
xgboost,PhishingWebsites,label_noise,0.0,6,5,0.4
xgboost,car,covariate_shift,0.4,6,0,0.4
xgboost,car,label_noise,0.05,6,4,0.4
xgboost,churn,covariate_shift,0.0,6,5,0.4
xgboost,churn,label_noise,0.0,6,5,0.4
xgboost,cmc,covariate_shift,0.0,6,6,0.4
xgboost,cmc,label_noise,0.0,6,6,0.4
xgboost,dna,covariate_shift,0.4,6,0,0.4
xgboost,dna,label_noise,0.1,6,3,0.4
xgboost,first-order-theorem-proving,covariate_shift,0.0,6,6,0.4
xgboost,first-order-theorem-proving,label_noise,0.0,6,6,0.4
xgboost,kc1,covariate_shift,0.0,6,6,0.4
xgboost,kc1,label_noise,0.0,6,6,0.4
xgboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4
xgboost,kr-vs-kp,label_noise,0.0,6,5,0.4
xgboost,mfeat-factors,covariate_shift,0.1,6,3,0.4
xgboost,mfeat-factors,label_noise,0.2,6,2,0.4
xgboost,mfeat-fourier,covariate_shift,0.05,6,4,0.4
xgboost,mfeat-fourier,label_noise,0.1,6,3,0.4
xgboost,mfeat-karhunen,covariate_shift,0.1,6,3,0.4
xgboost,mfeat-karhunen,label_noise,0.2,6,2,0.4
xgboost,mfeat-morphological,covariate_shift,0.0,6,6,0.4
