model,aure_published_baselines,aure_tuned_baselines,lambda0_fail_published,lambda0_fail_tuned
tabicl,0.12291666666666667,0.11875000000000001,0.0,0.0
tabpfn_client,0.09791666666666667,0.11666666666666668,0.027777777777777776,0.0
xgboost_tuned,,0.11041666666666668,,0.08333333333333333
catboost_tuned,,0.10833333333333335,,0.0
hist_gbdt,0.09583333333333334,0.09583333333333334,0.4166666666666667,0.4166666666666667
logreg,0.060416666666666674,0.05833333333333334,0.3333333333333333,0.3333333333333333
catboost,0.1125,,0.08333333333333333,
xgboost,0.08750000000000001,,0.4166666666666667,
