dataset_id,model,family,shift_axis,shift_lambda,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
churn,hist_gbdt,gbdt,covariate_shift,0.1,test_only,True,low,True,ok,,0.922,0.8497487694831829,0.2914883354077142,0.4205287759696881,0.0395862725930744,0.3016361820095927,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,hist_gbdt,gbdt,covariate_shift,0.2,test_only,True,low,True,ok,,0.87,0.7960784600960976,0.3939418836607468,0.5683380019558164,0.0614379786019147,0.2263384647265063,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,hist_gbdt,gbdt,covariate_shift,0.3,test_only,True,low,True,ok,,0.7893333333333333,0.7367133481776632,0.5662972989188073,0.8169943048189783,0.1116759292368401,0.1088161945691206,3500,catboost_tuned,0.3889909182924775,True,utility_gap;ece;nll,
churn,hist_gbdt,gbdt,covariate_shift,0.4,test_only,True,low,True,ok,,0.702,0.7147911051212938,0.7133197794549839,1.0291029083877143,0.1725758392481431,0.0122308464265098,3500,catboost_tuned,0.3889909182924775,True,utility_gap;ece;nll,
churn,logreg,linear,covariate_shift,0.0,test_only,True,low,True,ok,,0.8546666666666667,0.8341036270948083,0.3155573410507752,0.4552530110500607,0.0596904801153215,0.2716222701451004,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,logreg,linear,covariate_shift,0.05,test_only,True,low,True,ok,,0.8486666666666667,0.8341036270948083,0.320369595372714,0.4621956264958182,0.0598828002522297,0.2686010214839915,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,logreg,linear,covariate_shift,0.1,test_only,True,low,True,ok,,0.8546666666666667,0.8341036270948083,0.3327995502298608,0.4801282607266977,0.0521249930411498,0.2656727926569436,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,logreg,linear,covariate_shift,0.2,test_only,True,low,True,ok,,0.8713333333333333,0.8341036270948083,0.3842057912939782,0.5542917897806425,0.072231505425023,0.2419024314639855,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,logreg,linear,covariate_shift,0.3,test_only,True,low,True,ok,,0.8226666666666667,0.8341036270948083,0.4770488611326176,0.6882360262177551,0.0911651790404676,0.1906324258097628,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,logreg,linear,covariate_shift,0.4,test_only,True,low,True,ok,,0.7013333333333334,0.8341036270948083,0.6176048064080061,0.8910153914340186,0.054558886800898,0.1189198746927977,3500,catboost_tuned,0.3889909182924775,True,utility_gap;nll,
churn,hist_gbdt,gbdt,label_noise,0.0,train_only,True,low,True,ok,,0.9506666666666668,0.9071948611273876,0.1819820600222588,0.2625446155248705,0.0234585249083885,0.3766631117554468,3500,catboost_tuned,0.3889909182924775,False,,
churn,hist_gbdt,gbdt,label_noise,0.05,train_only,True,low,True,ok,,0.9453333333333334,0.9060632251259814,0.1916746576572353,0.2765280780661832,0.0299324478894805,0.3699772157963423,3500,catboost_tuned,0.3889909182924775,False,,
churn,hist_gbdt,gbdt,label_noise,0.1,train_only,True,low,True,ok,,0.936,0.8997311906715106,0.2335084297012209,0.3368814535357206,0.0665492113002105,0.3409316384142704,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
churn,hist_gbdt,gbdt,label_noise,0.2,train_only,True,low,True,ok,,0.9046666666666666,0.8585345130669166,0.3381591389625783,0.4878605128125936,0.1287107751530355,0.2640867706990356,3500,catboost_tuned,0.3889909182924775,True,utility_gap;ece,
churn,hist_gbdt,gbdt,label_noise,0.3,train_only,True,low,True,ok,,0.8393333333333334,0.7764744228290168,0.4602030839277218,0.6639327069843317,0.1437914066919165,0.169727954556473,3500,catboost_tuned,0.3889909182924775,True,utility_gap;ece,
churn,hist_gbdt,gbdt,label_noise,0.4,train_only,True,low,True,ok,,0.6693333333333333,0.5974891597328021,0.6138028847864575,0.8855303779647621,0.0325319305131091,0.0373557064144303,3500,catboost_tuned,0.3889909182924775,True,utility_gap;nll,
churn,logreg,linear,label_noise,0.0,train_only,True,low,True,ok,,0.8546666666666667,0.8341036270948083,0.3155573410507752,0.4552530110500607,0.0596904801153215,0.2716222701451004,3500,catboost_tuned,0.3889909182924775,True,utility_gap,
