model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
hist_gbdt,mfeat-factors,covariate_shift,0.1,6,3,0.4,2025
hist_gbdt,mfeat-factors,label_noise,0.2,6,2,0.4,2025
hist_gbdt,mfeat-fourier,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,mfeat-fourier,label_noise,0.0,6,6,0.4,2025
hist_gbdt,mfeat-karhunen,covariate_shift,0.05,6,4,0.4,2025
hist_gbdt,mfeat-karhunen,label_noise,0.2,6,2,0.4,2025
hist_gbdt,mfeat-morphological,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,mfeat-morphological,label_noise,0.0,6,6,0.4,2025
hist_gbdt,mfeat-zernike,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,mfeat-zernike,label_noise,0.0,6,6,0.4,2025
hist_gbdt,optdigits,covariate_shift,0.1,6,3,0.4,2025
hist_gbdt,optdigits,label_noise,0.2,6,2,0.4,2025
hist_gbdt,ozone-level-8hr,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,ozone-level-8hr,label_noise,0.0,6,6,0.4,2025
hist_gbdt,pc1,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,pc1,label_noise,0.0,6,5,0.4,2025
hist_gbdt,pc3,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,pc3,label_noise,0.0,6,6,0.4,2025
hist_gbdt,pc4,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,pc4,label_noise,0.0,6,6,0.4,2025
hist_gbdt,pendigits,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,pendigits,label_noise,0.1,6,3,0.4,2025
hist_gbdt,phoneme,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,phoneme,label_noise,0.05,6,4,0.4,2025
hist_gbdt,qsar-biodeg,covariate_shift,0.0,6,6,0.4,2025
hist_gbdt,qsar-biodeg,label_noise,0.0,6,6,0.4,2025
hist_gbdt,satimage,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,satimage,label_noise,0.1,6,3,0.4,2025
hist_gbdt,segment,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,segment,label_noise,0.1,6,3,0.4,2025
hist_gbdt,spambase,covariate_shift,0.0,6,5,0.4,2025
hist_gbdt,spambase,label_noise,0.05,6,4,0.4,2025
hist_gbdt,splice,covariate_shift,0.4,6,0,0.4,2025
hist_gbdt,splice,label_noise,0.1,6,3,0.4,2025
hist_gbdt,steel-plates-fault,covariate_shift,0.4,6,0,0.4,2025
