seed,model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
0,hist_gbdt,digits,context_budget,0.4,6,0,0.4
0,hist_gbdt,digits,covariate_shift,0.1,6,3,0.4
0,hist_gbdt,digits,label_noise,0.2,6,2,0.4
0,hist_gbdt,digits,missingness_shift,0.05,6,4,0.4
0,hist_gbdt,iris,class_imbalance,0.1,6,1,0.4
0,hist_gbdt,iris,context_budget,0.3,6,1,0.4
0,hist_gbdt,iris,covariate_shift,0.05,6,4,0.4
0,hist_gbdt,iris,label_noise,0.05,6,4,0.4
0,hist_gbdt,iris,missingness_shift,0.0,6,5,0.4
0,hist_gbdt,synthetic_mixed,class_imbalance,0.0,6,4,0.4
0,hist_gbdt,synthetic_mixed,context_budget,0.0,6,5,0.4
0,hist_gbdt,synthetic_mixed,covariate_shift,0.1,6,3,0.4
0,hist_gbdt,synthetic_mixed,label_noise,0.0,6,5,0.4
0,hist_gbdt,synthetic_mixed,missingness_shift,0.0,6,5,0.4
0,hist_gbdt,synthetic_mixed,rare_category_shift,0.05,6,4,0.4
0,hist_gbdt,wine,class_imbalance,0.05,6,4,0.4
0,hist_gbdt,wine,context_budget,0.2,6,1,0.4
0,hist_gbdt,wine,covariate_shift,0.1,6,3,0.4
0,hist_gbdt,wine,label_noise,0.0,6,5,0.4
0,hist_gbdt,wine,missingness_shift,0.05,6,4,0.4
0,logreg,breast_cancer,class_imbalance,0.4,6,0,0.4
0,logreg,breast_cancer,context_budget,0.4,6,0,0.4
0,logreg,breast_cancer,covariate_shift,0.05,6,4,0.4
0,logreg,breast_cancer,label_noise,0.05,6,4,0.4
0,logreg,breast_cancer,missingness_shift,0.4,6,0,0.4
0,logreg,digits,class_imbalance,0.4,6,0,0.4
0,logreg,digits,context_budget,0.4,6,0,0.4
0,logreg,digits,covariate_shift,0.3,6,1,0.4
0,logreg,digits,label_noise,0.0,6,5,0.4
0,logreg,digits,missingness_shift,0.1,6,3,0.4
0,logreg,iris,class_imbalance,0.0,6,5,0.4
0,logreg,iris,context_budget,0.0,6,6,0.4
0,logreg,iris,covariate_shift,0.0,6,4,0.4
0,logreg,iris,label_noise,0.0,6,6,0.4
0,logreg,iris,missingness_shift,0.0,6,6,0.4
0,logreg,synthetic_mixed,class_imbalance,0.0,6,6,0.4
0,logreg,synthetic_mixed,context_budget,0.0,6,6,0.4
0,logreg,synthetic_mixed,covariate_shift,0.0,6,6,0.4
0,logreg,synthetic_mixed,label_noise,0.0,6,6,0.4
0,logreg,synthetic_mixed,missingness_shift,0.0,6,5,0.4
0,logreg,synthetic_mixed,rare_category_shift,0.0,6,4,0.4
0,logreg,wine,class_imbalance,0.4,6,0,0.4
0,logreg,wine,context_budget,0.4,6,0,0.4
0,logreg,wine,covariate_shift,0.1,6,3,0.4
0,logreg,wine,label_noise,0.05,6,4,0.4
0,logreg,wine,missingness_shift,0.2,6,2,0.4
0,tabicl,breast_cancer,class_imbalance,0.4,6,0,0.4
0,tabicl,breast_cancer,context_budget,0.4,6,0,0.4
0,tabicl,breast_cancer,covariate_shift,0.0,6,5,0.4
0,tabicl,breast_cancer,label_noise,0.05,6,4,0.4
0,tabicl,breast_cancer,missingness_shift,0.1,6,3,0.4
0,tabicl,digits,class_imbalance,0.4,6,0,0.4
0,tabicl,digits,context_budget,0.4,6,0,0.4
0,tabicl,digits,covariate_shift,0.1,6,3,0.4
0,tabicl,digits,label_noise,0.1,6,3,0.4
0,tabicl,digits,missingness_shift,0.2,6,2,0.4
0,tabicl,iris,class_imbalance,0.4,6,0,0.4
0,tabicl,iris,context_budget,0.4,6,0,0.4
0,tabicl,iris,covariate_shift,0.05,6,4,0.4
0,tabicl,iris,label_noise,0.05,6,4,0.4
0,tabicl,iris,missingness_shift,0.1,6,3,0.4
0,tabicl,synthetic_mixed,class_imbalance,0.4,6,0,0.4
0,tabicl,synthetic_mixed,context_budget,0.4,6,0,0.4
0,tabicl,synthetic_mixed,covariate_shift,0.4,6,0,0.4
0,tabicl,synthetic_mixed,label_noise,0.1,6,3,0.4
0,tabicl,synthetic_mixed,missingness_shift,0.0,6,5,0.4
0,tabicl,synthetic_mixed,rare_category_shift,0.4,6,0,0.4
0,tabicl,wine,class_imbalance,0.4,6,0,0.4
0,tabicl,wine,context_budget,0.4,6,0,0.4
0,tabicl,wine,covariate_shift,0.2,6,2,0.4
0,tabicl,wine,label_noise,0.05,6,4,0.4
0,tabicl,wine,missingness_shift,0.2,6,1,0.4
0,tabpfn_client,breast_cancer,class_imbalance,0.4,6,0,0.4
0,tabpfn_client,breast_cancer,context_budget,0.4,6,0,0.4
0,tabpfn_client,breast_cancer,covariate_shift,0.0,6,5,0.4
0,tabpfn_client,breast_cancer,label_noise,0.05,6,4,0.4
0,tabpfn_client,breast_cancer,missingness_shift,0.1,6,3,0.4
0,tabpfn_client,digits,class_imbalance,0.4,6,0,0.4
0,tabpfn_client,digits,context_budget,0.4,6,0,0.4
0,tabpfn_client,digits,covariate_shift,0.0,6,5,0.4
0,tabpfn_client,digits,label_noise,0.1,6,3,0.4
0,tabpfn_client,digits,missingness_shift,0.2,6,2,0.4
0,tabpfn_client,iris,class_imbalance,0.4,6,0,0.4
0,tabpfn_client,iris,context_budget,0.4,6,0,0.4
0,tabpfn_client,iris,covariate_shift,0.05,6,4,0.4
0,tabpfn_client,iris,label_noise,0.1,6,3,0.4
0,tabpfn_client,iris,missingness_shift,0.1,6,3,0.4
0,tabpfn_client,synthetic_mixed,class_imbalance,0.4,6,0,0.4
0,tabpfn_client,synthetic_mixed,context_budget,0.4,6,0,0.4
0,tabpfn_client,synthetic_mixed,covariate_shift,0.4,6,0,0.4
0,tabpfn_client,synthetic_mixed,label_noise,0.05,6,4,0.4
0,tabpfn_client,synthetic_mixed,missingness_shift,0.0,6,5,0.4
0,tabpfn_client,synthetic_mixed,rare_category_shift,0.4,6,0,0.4
0,tabpfn_client,wine,class_imbalance,0.4,6,0,0.4
0,tabpfn_client,wine,context_budget,0.4,6,0,0.4
0,tabpfn_client,wine,covariate_shift,0.2,6,2,0.4
0,tabpfn_client,wine,label_noise,0.05,6,4,0.4
0,tabpfn_client,wine,missingness_shift,0.2,6,2,0.4
0,xgboost,breast_cancer,class_imbalance,0.4,6,0,0.4
0,xgboost,breast_cancer,context_budget,0.4,6,0,0.4
0,xgboost,breast_cancer,covariate_shift,0.0,6,5,0.4
0,xgboost,breast_cancer,label_noise,0.1,6,3,0.4
0,xgboost,breast_cancer,missingness_shift,0.1,6,3,0.4
0,xgboost,digits,class_imbalance,0.4,6,0,0.4
0,xgboost,digits,context_budget,0.4,6,0,0.4
0,xgboost,digits,covariate_shift,0.1,6,3,0.4
0,xgboost,digits,label_noise,0.1,6,3,0.4
0,xgboost,digits,missingness_shift,0.05,6,4,0.4
0,xgboost,iris,class_imbalance,0.0,6,6,0.4
0,xgboost,iris,context_budget,0.0,6,6,0.4
0,xgboost,iris,covariate_shift,0.0,6,6,0.4
0,xgboost,iris,label_noise,0.0,6,5,0.4
0,xgboost,iris,missingness_shift,0.0,6,6,0.4
0,xgboost,synthetic_mixed,class_imbalance,0.0,6,6,0.4
0,xgboost,synthetic_mixed,context_budget,0.0,6,6,0.4
0,xgboost,synthetic_mixed,covariate_shift,0.0,6,4,0.4
0,xgboost,synthetic_mixed,label_noise,0.0,6,6,0.4
0,xgboost,synthetic_mixed,missingness_shift,0.0,6,6,0.4
0,xgboost,synthetic_mixed,rare_category_shift,0.0,6,6,0.4
0,xgboost,wine,class_imbalance,0.2,6,2,0.4
0,xgboost,wine,context_budget,0.4,6,0,0.4
0,xgboost,wine,covariate_shift,0.1,6,3,0.4
0,xgboost,wine,label_noise,0.0,6,5,0.4
0,xgboost,wine,missingness_shift,0.05,6,4,0.4
1,catboost,breast_cancer,class_imbalance,0.4,6,0,0.4
1,catboost,breast_cancer,context_budget,0.4,6,0,0.4
1,catboost,breast_cancer,covariate_shift,0.05,6,4,0.4
1,catboost,breast_cancer,label_noise,0.05,6,4,0.4
1,catboost,breast_cancer,missingness_shift,0.1,6,3,0.4
1,catboost,digits,class_imbalance,0.4,6,0,0.4
1,catboost,digits,context_budget,0.4,6,0,0.4
1,catboost,digits,covariate_shift,0.05,6,4,0.4
1,catboost,digits,label_noise,0.05,6,4,0.4
