model,aure_quantised,aure_continuous,delta
tabicl,0.23846153846153847,0.25381927671968224,0.015357738258143766
tabpfn_client,0.23461538461538461,0.24929824347501744,0.01468285885963283
catboost,0.1576923076923077,0.18607029983474974,0.02837799214244205
logreg,0.13076923076923078,0.14642347030035846,0.015654239531127684
xgboost,0.1346153846153846,0.1443416719757296,0.009726287360345004
hist_gbdt,0.09038461538461538,0.09387661957114593,0.003492004186530548
