dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
car,catboost_cal,gbdt,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9672447013487476,0.998081905383269,0.09980951914546082,0.07199734915233419,0.036988449125645764,0.46541847751562687,1209,xgboost_cal,0.47348544350654476,False,,
car,catboost_cal,gbdt,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9672447013487476,0.9982392369048848,0.0944325198072062,0.0681186640122526,0.04431046669476129,0.46517274557639376,1209,xgboost_cal,0.47348544350654476,False,,
car,catboost_cal,gbdt,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.9672447013487476,0.998041142917176,0.08753584424410504,0.06314376419549952,0.029296047125234197,0.469598766539627,1209,xgboost_cal,0.47348544350654476,False,,
car,catboost_cal,gbdt,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.9691714836223507,0.9983840828283368,0.09207445549900174,0.06641768017048068,0.037061551773876975,0.4674725371273509,1209,xgboost_cal,0.47348544350654476,False,,
car,catboost_cal,gbdt,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.9633911368015414,0.9971736429840161,0.11488170612966492,0.08286963386106541,0.04421905427084233,0.45981474455214877,1209,xgboost_cal,0.47348544350654476,False,,
car,catboost_cal,gbdt,covariate_shift,0.4,1149131185,test_only,True,low,True,ok,,0.9691714836223507,0.9977431578930811,0.09701867338638002,0.06998417948407826,0.03468435077754879,0.4666537038051977,1209,xgboost_cal,0.47348544350654476,False,,
car,hist_gbdt_cal,gbdt,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9807321772639692,0.9998562983951256,0.0948504864955471,0.0684201632465157,0.05694586100455901,0.4651443098530228,1209,xgboost_cal,0.47348544350654476,False,,
car,hist_gbdt_cal,gbdt,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9903660886319846,0.9998398990891337,0.09758314781793906,0.07039136171563767,0.06954218898156957,0.46347303166498927,1209,xgboost_cal,0.47348544350654476,False,,
car,hist_gbdt_cal,gbdt,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.9826589595375722,0.9998745661792807,0.10312109803759116,0.0743861483749287,0.06556955165325563,0.46192518725025433,1209,xgboost_cal,0.47348544350654476,False,,
car,hist_gbdt_cal,gbdt,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.9749518304431599,0.9996720365897558,0.08941077639863851,0.06449624185617388,0.051132405100644915,0.46655263379590733,1209,xgboost_cal,0.47348544350654476,False,,
car,hist_gbdt_cal,gbdt,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.9788053949903661,0.9998461549165106,0.09499531449298411,0.06852463456335782,0.05429845952484884,0.4653498811953565,1209,xgboost_cal,0.47348544350654476,False,,
