model,aure,n_envelopes,aure_class_imbalance,aure_context_budget,aure_covariate_shift,aure_label_noise,aure_missingness_shift,aure_rare_category_shift
catboost,0.1576923076923077,26,0.26,0.29000000000000004,0.06,0.04,0.11000000000000001,0.3
hist_gbdt,0.08846153846153845,26,0.16,0.16,0.02,0.05,0.06999999999999999,0.0
logreg,0.13076923076923078,26,0.24000000000000005,0.24000000000000005,0.06000000000000001,0.02,0.12000000000000002,0.0
tabicl,0.23846153846153847,26,0.4,0.4,0.15,0.06000000000000001,0.15,0.4
xgboost,0.13076923076923078,26,0.26,0.25,0.02,0.06,0.09,0.0
