dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6397704253882511,0.87123247130408,0.9522386353500564,0.5916591301803614,0.0366300836801478,0.4914919086332988,0.0362787277529955,0.0215301268495746,0.874159922025757,-0.0480475828496659,0.2160731729745276,6911,catboost,0.2160731729745276,False,,,42
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.3723835246455098,0.7498292424228373,1.6662065323597033,1.035272326746514,0.2667874350045456,0.8132434080257104,0.2667710360865096,0.1226968722382996,0.7669349817990834,-1.1072121531739525,-0.0456414214800437,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3440243079000675,0.6962282328928715,1.9555516964119009,1.2150525853180263,0.308078060210355,0.8812893082820326,0.3079070209940145,0.1373751234279164,0.7461742840762771,-1.259432527723306,-0.1308478599399637,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3163403106009453,0.6526271294400724,2.463796053695319,1.5308425597910111,0.389244495715496,0.9835061795122956,0.389244495715496,0.1655142499723463,0.5420938952611076,-1.3407906750592444,-0.2612311251862353,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.299797434166104,0.5942133189331065,3.25075180265944,2.0198056585749438,0.465334231110641,1.0869692078169095,0.465178704008897,0.1950636061483222,0.1263026859617683,-1.0195715480724137,-0.4460642670431082,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.3099257258609048,0.6054434430356566,3.25679363385092,2.0235596593629213,0.3902864504194462,1.0254454030382958,0.3902864504194462,0.2038822973063787,0.5056312057699871,-1.374319634260598,-0.4267311239511501,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6532748143146523,0.8826156083177457,0.9178259756542236,0.570277342520229,0.0422543694118841,0.4752373776507025,0.0426687984933157,0.0262757812546872,0.8255585830950497,-0.0786478840794074,0.2273726084199633,6911,catboost,0.2160731729745276,False,,,42
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.3855503038487508,0.7744689679849167,1.577414581928844,0.980102786036136,0.2204172059696432,0.7665088654616093,0.2197543202607197,0.1264951271730672,1.0573652511223282,-1.0734123080483242,-0.0092175926327359,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3443619176232275,0.7069837699857198,2.0655323534779497,1.283387409678983,0.308942768091379,0.8792487951158748,0.3081146502582234,0.1437822554951502,0.8615289157422449,-1.3530451511721893,-0.1477061693834847,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3170155300472653,0.6421020849757113,2.832823182643154,1.7601320068065354,0.4282820208464106,1.025507447047544,0.4282820208464105,0.1811908130342971,0.4548714159365549,-1.3493094356874815,-0.341407946962654,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.3102633355840648,0.602734088964475,3.258610168974191,2.0246883360948646,0.4317361703335241,1.048874768238709,0.4315004949874738,0.1875299385943112,0.2518706006064135,-1.1052730636417218,-0.4362573034199882,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.2943956785955435,0.5388275599899586,3.701338984085458,2.299771215459678,0.4324715807012598,1.048886953597588,0.4324039758433451,0.1938357054270735,0.4371030432753041,-1.3725998038943157,-0.5436766829923383,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.4733288318703578,0.7609775998293586,1.281459731778304,0.7962156985852503,0.0412312198950602,0.6572077267046114,0.0487944346240355,0.0311370507716212,0.9362075489197772,-0.0221345767740105,0.090230531166242,6911,catboost,0.2160731729745276,True,utility_gap;nll,,42
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.4740040513166779,0.7581337501250219,1.310556021567645,0.814294239897438,0.0572662704194961,0.6691164347179853,0.0585004275466453,0.0469539283454834,0.6588692280163776,0.0234702180977099,0.0807058941881287,6911,catboost,0.2160731729745276,True,utility_gap;nll,,42
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.4385550303848751,0.7506103857835791,1.4009044322950095,0.8704308637642899,0.0644189288403949,0.7092425928161908,0.0816994053887821,0.0815119530965011,0.4390531157517126,-0.153220832523079,0.0544838446846179,6911,catboost,0.2160731729745276,True,utility_gap;nll,,42
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3180283592167454,0.7319867453080067,1.7278551601783771,1.0735767728779195,0.1909440187771952,0.8200640695601804,0.1909440187771952,0.1330972761532273,1.31221359994781,-0.8731774549974658,-0.0563622208785007,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.3187035786630655,0.7162484128324872,2.1698994581976123,1.348234337860151,0.232223515070651,0.8965145754328696,0.2322235150706509,0.1622472081015819,1.1225608592342518,-1.041095977161949,-0.152422523081345,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.3173531397704254,0.7095555688943984,2.6598761949411163,1.6526740015204078,0.254820197361441,0.9334362423358982,0.254820197361441,0.1759156210736147,0.9726215570233356,-1.0973361306173115,-0.2508188198498073,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.7964213369345037,0.9551961115960113,0.5588058264434456,0.347205581604768,0.0131299793831799,0.2833138717201472,0.015547644953095,0.0119011735582165,1.0688591419182558,-0.0368542132093755,0.346994169240713,6911,catboost,0.2160731729745276,False,,,42
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.4608372721134369,0.8227191227861512,1.3914820207591263,0.8645763903092482,0.1842588641986011,0.6856767578380659,0.1825973029247296,0.1027579975129323,0.9708969330259948,-0.9214775553662788,0.0608525938596737,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3909520594193112,0.7531250530181258,2.0744717990175654,1.2889417994883392,0.3179577433944973,0.862618775796845,0.3176190158125857,0.1436405376069303,0.7073260926028306,-1.2830630556278124,-0.1280375110561605,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3463875759621877,0.6873809275475169,2.763589494132301,1.717114697486324,0.4110039972667137,1.00197342094975,0.4107539510262914,0.1733421637822406,0.3273854340213866,-1.0952917529411594,-0.3047937476632808,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.3139770425388251,0.6446597494533292,3.327963317234931,2.067779869930954,0.4821337522454721,1.10799173007373,0.4821337522454721,0.2005376592659775,-0.0932848811683094,-0.6293131350574026,-0.4440332427388919,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.2910195813639433,0.6106529955367042,3.6028934919326514,2.238603592035225,0.5167084730863951,1.1489897664494324,0.5159689172246287,0.2101040477009637,-0.2340202436162818,-0.5008241803967302,-0.5175412865854085,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,xgboost,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6772451046590142,0.8894494580126284,0.975661875781233,0.6062128077408405,0.1148076428647068,0.4700751374396675,0.1148076428647068,0.051530114888324,0.5897064031615399,-0.2664304501423369,0.2080687051080785,6911,catboost,0.2160731729745276,True,ece,,42
GesturePhaseSegmentation,xgboost,gbdt,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.3865631330182309,0.7640004341722727,1.9546903729482683,1.2145174149601157,0.3562198825531539,0.8785077909832731,0.3562198825531538,0.1554645722824429,0.5340883902543285,-1.277847247617408,-0.1102145790856354,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,xgboost,gbdt,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.3480756245779878,0.667276227574142,3.1101466073802397,1.9324427387674,0.4600414023429778,1.0528560896687928,0.4590281994265642,0.1897914296742762,0.2451375730253246,-1.127447805174516,-0.3859830787611676,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
GesturePhaseSegmentation,xgboost,gbdt,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3291694800810263,0.610396355815652,3.758948427130927,2.3355659749843505,0.4578333022151477,1.0620979320110064,0.4578333022151478,0.1954875277333924,0.3937556234109931,-1.3983671943280715,-0.5292223063907026,6911,catboost,0.2160731729745276,True,utility_gap;ece;nll,,42
