calibration_share,margin,lambda0_fail_gbdt_max,lambda0_fail_icl_max,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn,aure_xgboost,order
0.0,0.013636363636363627,0.3106060606060606,0.05303030303030303,0.09375,0.08825757575757576,0.08977272727272727,0.10984848484848485,0.1043560606060606,0.09621212121212122,tabicl|tabpfn|xgboost|catboost|logreg|hist_gbdt
0.1,0.01799242424242424,0.3409090909090909,0.05303030303030303,0.0903409090909091,0.08257575757575758,0.08106060606060607,0.10833333333333334,0.10359848484848486,0.08806818181818182,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.2,0.02007575757575758,0.36363636363636365,0.05303030303030303,0.08674242424242425,0.07632575757575759,0.07518939393939394,0.10681818181818183,0.10170454545454546,0.08068181818181819,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.3,0.021022727272727262,0.4090909090909091,0.05303030303030303,0.08314393939393941,0.0715909090909091,0.06647727272727273,0.10416666666666667,0.09829545454545456,0.0759469696969697,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.4,0.021022727272727276,0.42424242424242425,0.05303030303030303,0.07954545454545454,0.06704545454545455,0.0581439393939394,0.10056818181818182,0.09356060606060607,0.07386363636363637,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.5,0.023295454545454536,0.4318181818181818,0.05303030303030303,0.0744318181818182,0.06401515151515152,0.05151515151515152,0.09772727272727273,0.08882575757575759,0.06950757575757577,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.6,0.02443181818181818,0.4393939393939394,0.05303030303030303,0.07102272727272728,0.06079545454545455,0.045075757575757575,0.09545454545454546,0.08579545454545455,0.06704545454545455,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.7,0.024053030303030312,0.4772727272727273,0.05303030303030303,0.06723484848484848,0.055303030303030305,0.04185606060606061,0.09128787878787879,0.08276515151515151,0.06268939393939395,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.8,0.02556818181818181,0.5075757575757576,0.05303030303030303,0.06212121212121213,0.05151515151515152,0.040530303030303035,0.08768939393939394,0.08011363636363637,0.06003787878787879,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
0.9,0.024242424242424232,0.5151515151515151,0.05303030303030303,0.06098484848484849,0.04943181818181819,0.037689393939393946,0.08522727272727272,0.07803030303030303,0.057196969696969704,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
1.0,0.02348484848484849,0.5454545454545454,0.05303030303030303,0.05946969696969697,0.04412878787878788,0.03465909090909091,0.08295454545454546,0.07537878787878789,0.05416666666666667,tabicl|tabpfn|catboost|xgboost|hist_gbdt|logreg
