model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabicl,0.09772727272727273,0.09526515151515152,264,0.1161764705882353,0.053,68
tabpfn,0.08882575757575759,0.0893939393939394,264,0.10514705882352941,0.0758,68
catboost,0.0744318181818182,0.09659090909090909,264,0.09779411764705882,0.1212,68
xgboost,0.06950757575757577,0.10946969696969698,264,0.12720588235294117,0.4242,68
hist_gbdt,0.06401515151515152,0.11496212121212122,264,0.12867647058823528,0.4318,68
logreg,0.05151515151515152,0.12291666666666667,264,0.08823529411764706,0.4091,68
