summary,role,reference,measures,min_ICL,best_GBDT,margin,ICL_leads,A_margin,T_margin,ci95_lo,ci95_hi,sig
aure,admissibility,absolute,combined,0.08068181818181819,0.07613636363636364,0.004545454545454547,True,0.0,-0.026578947368421035,-0.014204545454545456,0.016477272727272757,False
robust_fraction,admissibility,absolute,combined,0.3731060606060606,0.3598484848484848,0.013257575757575801,True,,,-0.02840909090909072,0.051136363636363646,False
abs_utility_area,admissibility,absolute,combined,0.016452822966349333,0.010114684161781783,0.00633813880456755,True,,,0.002224331681090659,0.011391303295355797,True
abs_ece_radius,calibration_tolerance,absolute,calibration,0.1409090909090909,0.19545454545454544,-0.054545454545454536,False,,,-0.09999999999999994,-0.016477272727272674,True
self_ref_radius,calibration_tolerance,self_ref,combined,0.08920454545454547,0.1215909090909091,-0.03238636363636363,False,,,-0.05340909090909085,-0.01193181818181821,True
utility_drop,calibration_tolerance,self_ref,combined,0.1359072336487257,0.20534698417718733,-0.06943975052846163,False,,,-0.13127172287015573,-0.026202799057903355,True
abs_auc_radius,discrimination,absolute,discrimination,0.25965909090909095,0.20852272727272728,0.051136363636363674,True,,,0.027272727272727306,0.07613636363636372,True
auc_retention,discrimination,self_ref,discrimination,0.9479268520575328,0.9300910444034138,0.017835807654118963,True,,,0.003499430173005125,0.031314792024310416,True
