model,aure,robust_fraction,abs_utility_area,abs_ece_radius,self_ref_radius,utility_drop,abs_auc_radius,auc_retention,n_cells,A_aure,T_aure
tabicl,0.08636363636363636,0.3939393939393939,0.018325426349941294,0.14602272727272728,0.09602272727272729,0.1359072336487257,0.2721590909090909,0.9532881652099371,88,0.8863636363636364,0.09743589743589744
tabpfn_client,0.08068181818181819,0.3731060606060606,0.016452822966349333,0.1409090909090909,0.08920454545454547,0.14870740112611178,0.25965909090909095,0.9479268520575328,88,0.8636363636363636,0.09342105263157896
catboost,0.07613636363636364,0.3598484848484848,0.010114684161781783,0.1590909090909091,0.09715909090909092,0.15349234856641517,0.20852272727272728,0.9300910444034138,88,0.8636363636363636,0.0881578947368421
xgboost,0.06818181818181818,0.28219696969696967,0.0061831686403067965,0.19545454545454544,0.11420454545454546,0.1817286674148807,0.16420454545454546,0.9189617915477236,88,0.5681818181818182,0.12
hist_gbdt,0.06477272727272727,0.2708333333333333,0.005980174207775254,0.16193181818181818,0.1215909090909091,0.20534698417718733,0.1721590909090909,0.9187998813614731,88,0.5681818181818182,0.114
logreg,0.05113636363636364,0.240530303030303,0.008764110199936224,0.17045454545454544,0.12386363636363637,0.1316211100106898,0.23295454545454544,0.973896658410838,88,0.5681818181818182,0.09
