model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
catboost_tuned,diabetes,label_noise,2025,0.1,6,3,0.4
catboost_tuned,dna,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,dna,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,dna,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,dna,label_noise,42,0.0,6,5,0.4
catboost_tuned,dna,label_noise,1337,0.0,6,5,0.4
catboost_tuned,dna,label_noise,2025,0.0,6,5,0.4
catboost_tuned,dresses-sales,covariate_shift,42,0.0,6,6,0.4
catboost_tuned,dresses-sales,covariate_shift,1337,0.0,6,6,0.4
catboost_tuned,dresses-sales,covariate_shift,2025,0.0,6,6,0.4
catboost_tuned,dresses-sales,label_noise,42,0.0,6,6,0.4
catboost_tuned,dresses-sales,label_noise,1337,0.0,6,6,0.4
catboost_tuned,dresses-sales,label_noise,2025,0.0,6,6,0.4
catboost_tuned,eucalyptus,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,eucalyptus,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,eucalyptus,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,eucalyptus,label_noise,42,0.05,6,4,0.4
catboost_tuned,eucalyptus,label_noise,1337,0.05,6,4,0.4
catboost_tuned,eucalyptus,label_noise,2025,0.0,6,5,0.4
catboost_tuned,first-order-theorem-proving,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,first-order-theorem-proving,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,first-order-theorem-proving,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,first-order-theorem-proving,label_noise,42,0.1,6,3,0.4
catboost_tuned,first-order-theorem-proving,label_noise,1337,0.05,6,4,0.4
catboost_tuned,first-order-theorem-proving,label_noise,2025,0.05,6,4,0.4
catboost_tuned,ilpd,covariate_shift,42,0.0,6,6,0.4
catboost_tuned,ilpd,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,ilpd,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,ilpd,label_noise,42,0.0,6,6,0.4
catboost_tuned,ilpd,label_noise,1337,0.05,6,4,0.4
catboost_tuned,ilpd,label_noise,2025,0.05,6,4,0.4
catboost_tuned,kc1,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,kc1,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,kc1,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,kc1,label_noise,42,0.05,6,4,0.4
catboost_tuned,kc1,label_noise,1337,0.1,6,3,0.4
catboost_tuned,kc1,label_noise,2025,0.1,6,3,0.4
catboost_tuned,kr-vs-kp,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,kr-vs-kp,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,kr-vs-kp,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,kr-vs-kp,label_noise,42,0.0,6,5,0.4
catboost_tuned,kr-vs-kp,label_noise,1337,0.0,6,5,0.4
catboost_tuned,kr-vs-kp,label_noise,2025,0.0,6,5,0.4
catboost_tuned,mfeat-factors,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,mfeat-factors,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,mfeat-factors,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,mfeat-factors,label_noise,42,0.05,6,4,0.4
catboost_tuned,mfeat-factors,label_noise,1337,0.05,6,4,0.4
catboost_tuned,mfeat-factors,label_noise,2025,0.05,6,4,0.4
catboost_tuned,mfeat-fourier,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,mfeat-fourier,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,mfeat-fourier,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,mfeat-fourier,label_noise,42,0.05,6,4,0.4
catboost_tuned,mfeat-fourier,label_noise,1337,0.05,6,4,0.4
catboost_tuned,mfeat-fourier,label_noise,2025,0.05,6,4,0.4
catboost_tuned,mfeat-karhunen,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,mfeat-karhunen,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,mfeat-karhunen,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,mfeat-karhunen,label_noise,42,0.05,6,4,0.4
catboost_tuned,mfeat-karhunen,label_noise,1337,0.05,6,4,0.4
catboost_tuned,mfeat-karhunen,label_noise,2025,0.05,6,4,0.4
catboost_tuned,mfeat-morphological,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,mfeat-morphological,covariate_shift,1337,0.1,6,3,0.4
