dataset_id,model,family,shift_axis,shift_lambda,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
credit-g,xgboost_cal,gbdt,label_noise,0.1,train_only,True,low,True,ok,,0.73,0.7584126984126984,0.5542757657664763,0.7996508985562281,0.075314496375247,0.1199862756025266,700,catboost_cal,0.1752229023743339,True,utility_gap;nll,
credit-g,xgboost_cal,gbdt,label_noise,0.2,train_only,True,low,True,ok,,0.7133333333333334,0.7285185185185185,0.5833448141307906,0.8415886704747858,0.1044016582364854,0.0886245486917485,700,catboost_cal,0.1752229023743339,True,utility_gap;ece;nll,
credit-g,xgboost_cal,gbdt,label_noise,0.3,train_only,True,low,True,ok,,0.7,0.6012698412698413,0.6384364984568488,0.9210691702462102,0.1267860469808669,0.0137664839744079,700,catboost_cal,0.1752229023743339,True,utility_gap;ece;nll,
credit-g,xgboost_cal,gbdt,label_noise,0.4,train_only,True,low,True,ok,,0.7,0.4722222222222223,0.6585455165934597,0.950080350989045,0.1494045664306464,-0.0446272408050649,700,catboost_cal,0.1752229023743339,True,utility_gap;ece;nll,
eucalyptus,catboost_cal,gbdt,covariate_shift,0.0,test_only,True,low,True,ok,,0.6606334841628959,0.912469055964928,0.8861195778370928,0.550577049907401,0.0766496420807346,0.2379561488237918,515,catboost_cal,0.2379561488237918,False,,
eucalyptus,catboost_cal,gbdt,covariate_shift,0.05,test_only,True,low,True,ok,,0.5746606334841629,0.8661602926750762,1.0799624847618974,0.6710184197963693,0.1033757746782626,0.1673745165843377,515,catboost_cal,0.2379561488237918,True,utility_gap;ece,
eucalyptus,catboost_cal,gbdt,covariate_shift,0.1,test_only,True,low,True,ok,,0.497737556561086,0.8346168292011754,1.2124538744897468,0.7533399487626347,0.1126308115543024,0.1182483767649234,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,catboost_cal,gbdt,covariate_shift,0.2,test_only,True,low,True,ok,,0.3800904977375565,0.7574476412883839,1.5335348147366497,0.9528387537592828,0.2121857576992843,-0.0061685285560739,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,catboost_cal,gbdt,covariate_shift,0.3,test_only,True,low,True,ok,,0.3257918552036199,0.6906243887141291,1.7701027325906455,1.099826665517999,0.2673588041201214,-0.0928324461489357,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,catboost_cal,gbdt,covariate_shift,0.4,test_only,True,low,True,ok,,0.2895927601809955,0.6658921735991508,1.8653256790395891,1.158992008718427,0.3184984207054173,-0.1348961119697594,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,hist_gbdt_cal,gbdt,covariate_shift,0.0,test_only,True,low,True,ok,,0.6606334841628959,0.8972921648980299,0.8627511979945277,0.5360574591471566,0.1005345987768815,0.2322231228392214,515,catboost_cal,0.2379561488237918,True,ece,
eucalyptus,hist_gbdt_cal,gbdt,covariate_shift,0.05,test_only,True,low,True,ok,,0.5203619909502263,0.8545289749743104,1.033732258181481,0.6422939649893502,0.1165176207832333,0.1611477262300908,515,catboost_cal,0.2379561488237918,True,utility_gap;ece,
eucalyptus,hist_gbdt_cal,gbdt,covariate_shift,0.1,test_only,True,low,True,ok,,0.497737556561086,0.8442939492676709,1.1203222546595004,0.6960953547845374,0.1051512991172845,0.1403046494690295,515,catboost_cal,0.2379561488237918,True,utility_gap;ece,
eucalyptus,hist_gbdt_cal,gbdt,covariate_shift,0.2,test_only,True,low,True,ok,,0.3574660633484163,0.7590502932569718,1.5416000644187449,0.9578499751427142,0.2123584123968293,-0.0105391628799776,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,hist_gbdt_cal,gbdt,covariate_shift,0.3,test_only,True,low,True,ok,,0.3619909502262443,0.6957605189046643,1.85165442611626,1.150497581677962,0.214127019403199,-0.0901598542334592,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,hist_gbdt_cal,gbdt,covariate_shift,0.4,test_only,True,low,True,ok,,0.3393665158371041,0.6073124587859204,2.063802511117469,1.2823125981891352,0.2421030135001107,-0.1696500442061249,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,logreg_cal,linear,covariate_shift,0.0,test_only,True,low,True,ok,,0.6289592760180995,0.8818905233378315,0.9840036897843184,0.6113958681985561,0.1453582448404974,0.1905151651432896,515,catboost_cal,0.2379561488237918,True,utility_gap;ece,
eucalyptus,logreg_cal,linear,covariate_shift,0.05,test_only,True,low,True,ok,,0.6153846153846154,0.875386622060707,0.9901905565050052,0.6152399846275831,0.1585528894938913,0.1824104367418865,515,catboost_cal,0.2379561488237918,True,utility_gap;ece,
eucalyptus,logreg_cal,linear,covariate_shift,0.1,test_only,True,low,True,ok,,0.5701357466063348,0.8630635053332132,1.028419304787855,0.6389928414402033,0.1152778397066777,0.1728391684841783,515,catboost_cal,0.2379561488237918,True,utility_gap;ece,
eucalyptus,logreg_cal,linear,covariate_shift,0.2,test_only,True,low,True,ok,,0.4524886877828054,0.8207564568054393,1.2131278590246648,0.7537587188995322,0.0814158011035105,0.1127272871587627,515,catboost_cal,0.2379561488237918,True,utility_gap;nll,
eucalyptus,logreg_cal,linear,covariate_shift,0.3,test_only,True,low,True,ok,,0.3619909502262443,0.7740677426119227,1.4826562727735362,0.9212261382181433,0.1643810939658173,0.0159782921895031,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
eucalyptus,logreg_cal,linear,covariate_shift,0.4,test_only,True,low,True,ok,,0.3031674208144796,0.7488255131608033,1.866419453603771,1.1596716090656856,0.23409014709213,-0.0871554694096786,515,catboost_cal,0.2379561488237918,True,utility_gap;ece;nll,
