model,aure,robust_fraction,abs_utility_area,abs_ece_radius,self_ref_radius,utility_drop,abs_auc_radius,auc_retention,n_cells,A_aure,T_aure
tabicl,0.09943181818181818,0.428030303030303,0.02212080025865336,0.14488636363636365,0.09261363636363637,0.14554870250657617,0.2784090909090909,0.952048397101395,88,0.9318181818181818,0.10670731707317073
tabpfn_client,0.09375,0.41098484848484845,0.020072564112254603,0.13579545454545455,0.08693181818181818,0.15523854712622712,0.26704545454545453,0.9463083602874446,88,0.9090909090909091,0.103125
catboost,0.07613636363636364,0.3598484848484848,0.010114684161781783,0.1590909090909091,0.09715909090909092,0.15349234856641517,0.20454545454545456,0.9300910444034138,88,0.8636363636363636,0.0881578947368421
xgboost,0.06818181818181818,0.28219696969696967,0.0061831686403067965,0.19545454545454544,0.11420454545454546,0.1817286674148807,0.15965909090909092,0.9189617915477236,88,0.5681818181818182,0.12
hist_gbdt,0.06477272727272727,0.2708333333333333,0.005980174207775254,0.16193181818181818,0.1215909090909091,0.20534698417718733,0.16647727272727272,0.9187998813614731,88,0.5681818181818182,0.114
logreg,0.05113636363636364,0.240530303030303,0.008764110199936224,0.17045454545454544,0.12386363636363637,0.1316211100106898,0.23068181818181818,0.973896658410838,88,0.5681818181818182,0.09
