model,aure_mean,aure_sd,seed_ci95_lo,seed_ci95_hi,n_seeds,dataset_ci95_lo,dataset_ci95_hi,n_datasets
gbdt_ensemble,0.07462121212121213,0.0023655295448478724,0.07272727272727274,0.07727272727272727,3,0.056249999999999994,0.09469696969696971,44
catboost_tuned,0.07196969696969698,0.0029156826360493705,0.06875,0.0744318181818182,3,0.0528409090909091,0.09280303030303032,44
xgboost_tuned,0.06912878787878789,0.005279302979078163,0.06477272727272729,0.07500000000000001,3,0.05,0.08958806818181814,44
lightgbm,0.05511363636363637,0.00393647910811109,0.05056818181818182,0.057386363636363645,3,0.03427556818181822,0.07803030303030302,44
lightgbm_tuned,0.053787878787878794,0.004964144856848925,0.04829545454545455,0.05795454545454546,3,0.03636363636363636,0.0734848484848485,44
