model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
catboost_tuned,vehicle,covariate_shift,0.05,6,4,0.4,42
catboost_tuned,vehicle,label_noise,0.05,6,4,0.4,42
catboost_tuned,vowel,covariate_shift,0.0,6,6,0.4,42
catboost_tuned,vowel,label_noise,0.0,6,6,0.4,42
catboost_tuned,wall-robot-navigation,covariate_shift,0.0,6,5,0.4,42
catboost_tuned,wall-robot-navigation,label_noise,0.0,6,5,0.4,42
catboost_tuned,wdbc,covariate_shift,0.0,6,5,0.4,42
catboost_tuned,wdbc,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,GesturePhaseSegmentation,covariate_shift,0.0,6,5,0.4,42
gbdt_ensemble,GesturePhaseSegmentation,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,MiceProtein,covariate_shift,0.05,6,4,0.4,42
gbdt_ensemble,MiceProtein,label_noise,0.0,6,5,0.4,42
gbdt_ensemble,PhishingWebsites,covariate_shift,0.4,6,0,0.4,42
gbdt_ensemble,PhishingWebsites,label_noise,0.0,6,5,0.4,42
gbdt_ensemble,analcatdata_authorship,covariate_shift,0.05,6,4,0.4,42
gbdt_ensemble,analcatdata_authorship,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,breast-w,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,breast-w,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,car,covariate_shift,0.4,6,0,0.4,42
gbdt_ensemble,car,label_noise,0.0,6,5,0.4,42
gbdt_ensemble,churn,covariate_shift,0.05,6,4,0.4,42
gbdt_ensemble,churn,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,climate-model-simulation-crashes,covariate_shift,0.3,6,1,0.4,42
gbdt_ensemble,climate-model-simulation-crashes,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,cmc,covariate_shift,0.0,6,6,0.4,42
gbdt_ensemble,cmc,label_noise,0.0,6,6,0.4,42
gbdt_ensemble,cnae-9,covariate_shift,0.0,6,6,0.4,42
gbdt_ensemble,cnae-9,label_noise,0.0,6,6,0.4,42
gbdt_ensemble,credit-approval,covariate_shift,0.05,6,4,0.4,42
gbdt_ensemble,credit-approval,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,credit-g,covariate_shift,0.4,6,0,0.4,42
gbdt_ensemble,credit-g,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,diabetes,covariate_shift,0.05,6,4,0.4,42
gbdt_ensemble,diabetes,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,dna,covariate_shift,0.4,6,0,0.4,42
gbdt_ensemble,dna,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,dresses-sales,covariate_shift,0.0,6,6,0.4,42
gbdt_ensemble,dresses-sales,label_noise,0.0,6,6,0.4,42
gbdt_ensemble,eucalyptus,covariate_shift,0.0,6,6,0.4,42
gbdt_ensemble,eucalyptus,label_noise,0.0,6,5,0.4,42
gbdt_ensemble,first-order-theorem-proving,covariate_shift,0.0,6,5,0.4,42
gbdt_ensemble,first-order-theorem-proving,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,ilpd,covariate_shift,0.0,6,6,0.4,42
gbdt_ensemble,ilpd,label_noise,0.0,6,6,0.4,42
gbdt_ensemble,kc1,covariate_shift,0.0,6,5,0.4,42
gbdt_ensemble,kc1,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,kr-vs-kp,covariate_shift,0.4,6,0,0.4,42
gbdt_ensemble,kr-vs-kp,label_noise,0.0,6,5,0.4,42
gbdt_ensemble,mfeat-factors,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,mfeat-factors,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,mfeat-fourier,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,mfeat-fourier,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,mfeat-karhunen,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,mfeat-karhunen,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,mfeat-morphological,covariate_shift,0.0,6,5,0.4,42
gbdt_ensemble,mfeat-morphological,label_noise,0.0,6,4,0.4,42
gbdt_ensemble,mfeat-zernike,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,mfeat-zernike,label_noise,0.1,6,3,0.4,42
gbdt_ensemble,optdigits,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,optdigits,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,ozone-level-8hr,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,ozone-level-8hr,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,pc1,covariate_shift,0.0,6,5,0.4,42
gbdt_ensemble,pc1,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,pc3,covariate_shift,0.1,6,3,0.4,42
gbdt_ensemble,pc3,label_noise,0.05,6,4,0.4,42
gbdt_ensemble,pc4,covariate_shift,0.0,6,5,0.4,42
gbdt_ensemble,pc4,label_noise,0.05,6,4,0.4,42
