dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
breast_cancer,catboost,gbdt,class_imbalance,0.0,456482571,train_only,True,low,True,ok,,0.9883040935672515,0.9998539719626168,0.04244722102945535,0.06123839527871295,0.024160853842255803,0.4749908148699386,398,catboost,0.4749908148699386,False,,
breast_cancer,catboost,gbdt,class_imbalance,0.05,2292206627,train_only,True,low,True,ok,,0.9883040935672515,0.9997079439252337,0.04508270045678897,0.06504058837889205,0.02290428775351377,0.47405036034454906,391,catboost,0.4749908148699386,False,,
breast_cancer,catboost,gbdt,class_imbalance,0.1,4071401498,train_only,True,low,True,ok,,0.9824561403508771,0.999123831775701,0.0475895073826287,0.06865714629926714,0.023077301709742856,0.4718491579423982,383,catboost,0.4749908148699386,False,,
breast_cancer,catboost,gbdt,class_imbalance,0.2,4024157187,train_only,True,low,True,ok,,0.9824561403508771,0.9992698598130841,0.04698111308068852,0.06777941885695295,0.029971349260806614,0.4707847764779638,368,catboost,0.4749908148699386,False,,
breast_cancer,catboost,gbdt,class_imbalance,0.3,3556405486,train_only,True,low,True,ok,,0.9883040935672515,0.9994158878504673,0.04502972157297234,0.06496415600593797,0.0298611657554664,0.47257969482987655,354,catboost,0.4749908148699386,False,,
breast_cancer,catboost,gbdt,class_imbalance,0.4,2134802480,train_only,True,low,True,ok,,0.9824561403508771,0.9994158878504673,0.038581770985670026,0.05566172966973984,0.029441685985273934,0.47457712570231836,339,catboost,0.4749908148699386,False,,
breast_cancer,hist_gbdt,gbdt,class_imbalance,0.0,456482571,train_only,True,low,True,ok,,0.9766081871345029,0.9986857476635514,0.06038829599655332,0.08712189516196232,0.01630915711534692,0.46663283978076026,398,catboost,0.4749908148699386,False,,
breast_cancer,hist_gbdt,gbdt,class_imbalance,0.05,2292206627,train_only,True,low,True,ok,,0.9766081871345029,0.9982476635514018,0.0751361785328979,0.1083985921607596,0.02784910361666911,0.45778851194160436,391,catboost,0.4749908148699386,False,,
breast_cancer,hist_gbdt,gbdt,class_imbalance,0.1,4071401498,train_only,True,low,True,ok,,0.9766081871345029,0.9985397196261683,0.05984375354547454,0.08633628646823745,0.016707510928825373,0.46673774181309796,383,catboost,0.4749908148699386,False,,
breast_cancer,hist_gbdt,gbdt,class_imbalance,0.2,4024157187,train_only,True,low,True,ok,,0.9707602339181286,0.998393691588785,0.06482166893250611,0.09351790031107275,0.02603865771475898,0.4617887255075204,368,catboost,0.4749908148699386,False,,
breast_cancer,hist_gbdt,gbdt,class_imbalance,0.3,3556405486,train_only,True,low,True,ok,,0.9707602339181286,0.9986857476635514,0.06455640947010557,0.09313521180011863,0.020863217661745627,0.4630408396975775,354,catboost,0.4749908148699386,False,,
breast_cancer,hist_gbdt,gbdt,class_imbalance,0.4,2134802480,train_only,True,low,True,ok,,0.9824561403508771,0.9985397196261683,0.05595036958658096,0.08071932073846504,0.018627155902476537,0.4689160955197556,339,catboost,0.4749908148699386,False,,
breast_cancer,logreg,linear,class_imbalance,0.0,456482571,train_only,True,low,True,ok,,0.9941520467836257,1.0,0.04140507768431182,0.05973490024277895,0.028022236220733042,0.47559788970056355,398,catboost,0.4749908148699386,False,,
breast_cancer,logreg,linear,class_imbalance,0.05,2292206627,train_only,True,low,True,ok,,0.9941520467836257,0.9997079439252337,0.041544615846223404,0.059936211256983556,0.027286565893842173,0.47558241083551206,391,catboost,0.4749908148699386,False,,
breast_cancer,logreg,linear,class_imbalance,0.1,4071401498,train_only,True,low,True,ok,,0.9941520467836257,1.0,0.04168687943871911,0.06014145423637616,0.029234428187889884,0.47523348510905306,383,catboost,0.4749908148699386,False,,
breast_cancer,logreg,linear,class_imbalance,0.2,4024157187,train_only,True,low,True,ok,,0.9941520467836257,0.9989778037383178,0.05123730721843787,0.07391980903254461,0.03630449021989384,0.46932819757221295,368,catboost,0.4749908148699386,False,,
breast_cancer,logreg,linear,class_imbalance,0.3,3556405486,train_only,True,low,True,ok,,0.9941520467836257,1.0,0.04071511918820154,0.05873950054202144,0.029930309056194024,0.47551489504369865,354,catboost,0.4749908148699386,False,,
breast_cancer,logreg,linear,class_imbalance,0.4,2134802480,train_only,True,low,True,ok,,0.9883040935672515,0.9997079439252337,0.03504454818745521,0.05055859588023595,0.02340490332271847,0.47829483498030495,339,catboost,0.4749908148699386,False,,
