model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost,mfeat-karhunen,label_noise,0.05,6,4,0.4
catboost,mfeat-morphological,covariate_shift,0.0,6,4,0.4
catboost,mfeat-morphological,label_noise,0.0,6,3,0.4
catboost,mfeat-zernike,covariate_shift,0.1,6,3,0.4
catboost,mfeat-zernike,label_noise,0.1,6,3,0.4
catboost,optdigits,covariate_shift,0.1,6,3,0.4
catboost,optdigits,label_noise,0.05,6,4,0.4
catboost,ozone-level-8hr,covariate_shift,0.1,6,3,0.4
catboost,ozone-level-8hr,label_noise,0.05,6,4,0.4
catboost,pc1,covariate_shift,0.0,6,5,0.4
catboost,pc1,label_noise,0.0,6,5,0.4
catboost,pc3,covariate_shift,0.05,6,4,0.4
catboost,pc3,label_noise,0.05,6,4,0.4
catboost,pc4,covariate_shift,0.0,6,5,0.4
catboost,pc4,label_noise,0.05,6,4,0.4
catboost,pendigits,covariate_shift,0.1,6,3,0.4
catboost,pendigits,label_noise,0.05,6,4,0.4
catboost,phoneme,covariate_shift,0.0,6,5,0.4
catboost,phoneme,label_noise,0.05,6,4,0.4
catboost,qsar-biodeg,covariate_shift,0.0,6,5,0.4
catboost,qsar-biodeg,label_noise,0.05,6,4,0.4
catboost,satimage,covariate_shift,0.05,6,4,0.4
catboost,satimage,label_noise,0.05,6,4,0.4
catboost,segment,covariate_shift,0.0,6,5,0.4
catboost,segment,label_noise,0.05,6,4,0.4
catboost,spambase,covariate_shift,0.0,6,5,0.4
catboost,spambase,label_noise,0.05,6,4,0.4
catboost,splice,covariate_shift,0.4,6,0,0.4
catboost,splice,label_noise,0.05,6,4,0.4
catboost,steel-plates-fault,covariate_shift,0.4,6,0,0.4
catboost,steel-plates-fault,label_noise,0.0,6,5,0.4
catboost,texture,covariate_shift,0.05,6,4,0.4
catboost,texture,label_noise,0.05,6,4,0.4
catboost,tic-tac-toe,covariate_shift,0.4,6,0,0.4
catboost,tic-tac-toe,label_noise,0.0,6,5,0.4
catboost,vehicle,covariate_shift,0.0,6,5,0.4
catboost,vehicle,label_noise,0.05,6,4,0.4
catboost,vowel,covariate_shift,0.05,6,4,0.4
catboost,vowel,label_noise,0.0,6,5,0.4
catboost,wall-robot-navigation,covariate_shift,0.0,6,5,0.4
catboost,wall-robot-navigation,label_noise,0.05,6,4,0.4
catboost,wdbc,covariate_shift,0.0,6,5,0.4
catboost,wdbc,label_noise,0.05,6,4,0.4
hist_gbdt,GesturePhaseSegmentation,covariate_shift,0.0,6,5,0.4
hist_gbdt,GesturePhaseSegmentation,label_noise,0.2,6,2,0.4
hist_gbdt,MiceProtein,covariate_shift,0.0,6,5,0.4
hist_gbdt,MiceProtein,label_noise,0.1,6,3,0.4
hist_gbdt,PhishingWebsites,covariate_shift,0.4,6,0,0.4
hist_gbdt,PhishingWebsites,label_noise,0.0,6,5,0.4
hist_gbdt,analcatdata_authorship,covariate_shift,0.05,6,4,0.4
hist_gbdt,analcatdata_authorship,label_noise,0.2,6,2,0.4
hist_gbdt,breast-w,covariate_shift,0.05,6,4,0.4
hist_gbdt,breast-w,label_noise,0.0,6,5,0.4
hist_gbdt,car,covariate_shift,0.4,6,0,0.4
hist_gbdt,car,label_noise,0.05,6,4,0.4
hist_gbdt,churn,covariate_shift,0.05,6,4,0.4
hist_gbdt,churn,label_noise,0.05,6,4,0.4
hist_gbdt,climate-model-simulation-crashes,covariate_shift,0.0,6,2,0.4
hist_gbdt,climate-model-simulation-crashes,label_noise,0.0,6,6,0.4
hist_gbdt,cmc,covariate_shift,0.0,6,6,0.4
hist_gbdt,cmc,label_noise,0.0,6,6,0.4
hist_gbdt,cnae-9,covariate_shift,0.0,6,6,0.4
hist_gbdt,cnae-9,label_noise,0.0,6,6,0.4
hist_gbdt,credit-approval,covariate_shift,0.0,6,6,0.4
hist_gbdt,credit-approval,label_noise,0.0,6,6,0.4
hist_gbdt,credit-g,covariate_shift,0.0,6,6,0.4
hist_gbdt,credit-g,label_noise,0.0,6,6,0.4
hist_gbdt,diabetes,covariate_shift,0.0,6,6,0.4
