model,aure_quantised,aure_continuous,delta
tabicl,0.08636363636363636,0.10861032297112244,0.022246686607486077
tabpfn_client,0.08068181818181819,0.10221637220125274,0.02153455401943455
catboost,0.07613636363636364,0.09725866369782409,0.021122300061460444
xgboost,0.06818181818181818,0.08022403858926772,0.012042220407449539
hist_gbdt,0.06477272727272726,0.07691665282847068,0.012143925555743423
logreg,0.05113636363636364,0.06638045157386606,0.01524408793750242
