model,aure,n_envelopes,aure_covariate_shift,aure_label_noise
catboost,0.10454545454545454,88,0.16590909090909092,0.04318181818181818
hist_gbdt,0.09204545454545456,88,0.12954545454545455,0.05454545454545456
logreg,0.05795454545454545,88,0.09772727272727272,0.018181818181818184
tabicl,0.12784090909090912,88,0.1784090909090909,0.07727272727272727
tabpfn,0.11875000000000001,88,0.1636363636363636,0.07386363636363637
xgboost,0.10227272727272728,88,0.1556818181818182,0.04886363636363636
