dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6397704253882511,0.87123247130408,0.9522386353500565,0.5916591301803614,0.03663008368014782,0.4914919086332988,0.03687334370352886,0.02153012684957465,0.874159922025757,-0.04804758284966594,0.21607317297452766,6911,catboost,0.21607317297452766,False,,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.3723835246455098,0.7498292424228373,1.6662065323597033,1.035272326746514,0.26678743500454566,0.8132434080257104,0.26677103608650965,0.12269687223829966,0.7669349817990834,-1.1072121531739523,-0.04564142148004379,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.34402430790006755,0.6962282328928715,1.9555516964119009,1.2150525853180263,0.30807806021035505,0.8812893082820326,0.30790702099401446,0.13737512342791647,0.7461742840762772,-1.259432527723306,-0.13084785993996373,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3163403106009453,0.6526271294400724,2.463796053695319,1.5308425597910111,0.389244495715496,0.9835061795122955,0.3892444957154961,0.16551424997234632,0.5420938952611076,-1.3407906750592444,-0.26123112518623537,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.299797434166104,0.5942133189331065,3.25075180265944,2.0198056585749433,0.465334231110641,1.0869692078169095,0.46517870400889705,0.19506360614832224,0.12630268596176825,-1.0195715480724137,-0.44606426704310825,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.3099257258609048,0.6054434430356566,3.2567936338509194,2.0235596593629213,0.3902864504194462,1.0254454030382958,0.39028645041944626,0.20388229730637875,0.5056312057699871,-1.3743196342605979,-0.4267311239511501,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.5,1000889083,test_only,True,low,True,ok,,0.28663065496286294,0.5553707793645662,3.154012394321813,1.9596980846261483,0.4131205171385207,1.0363244567493217,0.4128910809044292,0.19235311719121517,0.44346243384695005,-1.3389878177486905,-0.43315915779352093,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.6,1651385983,test_only,True,low,True,ok,,0.29304523970290347,0.5327915429383147,3.847427910482369,2.390541368982387,0.40830161602490345,1.0382353087108167,0.4075415791095169,0.20034995675992734,0.4827292811835228,-1.369059183358487,-0.5683889079158512,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,catboost,gbdt,covariate_shift,0.8,2373184875,test_only,True,low,True,ok,,0.2859554355165429,0.5066977725932549,3.5688220780842257,2.2174338323413605,0.4546533603759654,1.0832067675410169,0.4545555581830495,0.20010963115161257,0.08303357287291896,-1.00906199354847,-0.5359232860424806,6911,catboost,0.21607317297452766,True,utility_gap;ece;nll,
GesturePhaseSegmentation,hist_gbdt,gbdt,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.6549628629304524,0.8837679531210488,0.9122866745010529,0.5668355812007176,0.03516079062161908,0.46968430031270153,0.039704125712378455,0.025831012742008976,0.8652649542370658,-0.09291548356648209,0.23048038054739584,6911,catboost,0.21607317297452766,False,,
