dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
car,tabicl,icl,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9942196531791907,0.9999804084999561,0.018456081516883497,0.01331324863932514,0.012958402790643418,0.49254043580193696,1209,,,False,,,42
car,tabicl,icl,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9980732177263969,0.9999902042499781,0.01768840878630418,0.012759489818608905,0.012435620311143262,0.4933925831386405,1209,,,False,,,42
car,tabicl,icl,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.9942196531791907,1.0,0.019414926065866155,0.014004908777225487,0.010200115339145036,0.4928914522758819,1209,,,False,,,42
car,tabicl,icl,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.9942196531791907,0.9999804084999562,0.01993791456449241,0.014382165233930518,0.010288602222123184,0.49275372093725944,1209,,,False,,,42
car,tabicl,icl,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.9922928709055877,1.0,0.01824447163427347,0.013160604375202847,0.015165978087840789,0.4918625537057091,1209,,,False,,,42
car,tabicl,icl,covariate_shift,0.4,1149131185,test_only,True,low,True,ok,,0.9980732177263969,1.0,0.016443188330157357,0.011861253130160648,0.011799363812230226,0.4937927339574653,1209,,,False,,,42
car,tabpfn_client,icl,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9903660886319846,0.9999784761084805,0.023625860893867128,0.0170424561741573,0.014066242359555838,0.4906213946086075,1209,,,False,,,42
car,tabpfn_client,icl,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9845857418111753,0.9998493236050405,0.02995438118497891,0.021607518594233373,0.014841564785016066,0.48818455599816724,1209,,,False,,,42
car,tabpfn_client,icl,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.9942196531791907,0.9999892380542402,0.021272014334403285,0.015344514794981282,0.013481574052091501,0.4918295120469499,1209,,,False,,,42
car,tabpfn_client,icl,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.9903660886319846,0.9999632993855786,0.025688206915478618,0.01853012436314529,0.013790854768254143,0.4902248598171558,1209,,,False,,,42
car,tabpfn_client,icl,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.9922928709055877,0.9999481226626767,0.02584767425364352,0.018645155732122422,0.010914816664866463,0.491049263515165,1209,,,False,,,42
car,tabpfn_client,icl,covariate_shift,0.4,1149131185,test_only,True,low,True,ok,,0.9922928709055877,0.9999838570813603,0.02231113132820643,0.016094079261912905,0.014056021732047482,0.4911988524893308,1209,,,False,,,42
car,tabicl,icl,label_noise,0.0,1378653968,train_only,True,low,True,ok,,0.9942196531791907,0.9999804084999561,0.018456081516883497,0.01331324863932514,0.012958402790643418,0.49254043580193696,1209,,,False,,,42
car,tabicl,icl,label_noise,0.05,2251075837,train_only,True,low,True,ok,,0.9749518304431599,0.9989012490480754,0.09085488586657624,0.06553794664012115,0.05467642116484639,0.46526154350829474,1209,,,False,,,42
car,tabicl,icl,label_noise,0.1,719645287,train_only,True,low,True,ok,,0.9749518304431599,0.9991262362298319,0.12649727096029809,0.09124849275020477,0.07743736752040033,0.4530749359177736,1209,,,False,,,42
car,tabicl,icl,label_noise,0.2,68887170,train_only,True,low,True,ok,,0.9595375722543352,0.9973300560412502,0.2501395853450505,0.18043756965366298,0.16488900444325555,0.4058870836678378,1209,,,True,ece,,42
car,tabicl,icl,label_noise,0.3,2650549459,train_only,True,low,True,ok,,0.9383429672447013,0.9896083137832692,0.43041048160495826,0.31047553367905184,0.2527680078222712,0.34341809324267963,1209,,,True,ece,,42
car,tabicl,icl,label_noise,0.4,286087698,train_only,True,low,True,ok,,0.8766859344894027,0.9712348707011249,0.6189910719791224,0.4465076749494117,0.29812709629588663,0.2778573731748033,1209,,,True,ece,,42
car,tabpfn_client,icl,label_noise,0.0,1378653968,train_only,True,low,True,ok,,0.9903660886319846,0.9999784761084805,0.023625860893867128,0.0170424561741573,0.014066242359555838,0.4906213946086075,1209,,,False,,,42
car,tabpfn_client,icl,label_noise,0.05,2251075837,train_only,True,low,True,ok,,0.9845857418111753,0.9984175988668714,0.09788176879487248,0.07060677121690132,0.052385019055985964,0.4654749856988137,1209,,,False,,,42
car,tabpfn_client,icl,label_noise,0.1,719645287,train_only,True,low,True,ok,,0.9672447013487476,0.9977471200992815,0.15545732303385948,0.11213875450541134,0.08056901419323051,0.4445427680467911,1209,,,False,,,42
car,tabpfn_client,icl,label_noise,0.2,68887170,train_only,True,low,True,ok,,0.9653179190751445,0.9971824451584093,0.2718691155958778,0.19611211242052062,0.1714657170324041,0.40068476653407786,1209,,,True,ece,,42
car,tabpfn_client,icl,label_noise,0.3,2650549459,train_only,True,low,True,ok,,0.9402697495183044,0.988882181718491,0.44048053115085617,0.3177395389497384,0.26294310820323485,0.33923874270364895,1209,,,True,ece,,42
car,tabpfn_client,icl,label_noise,0.4,286087698,train_only,True,low,True,ok,,0.8689788053949904,0.9752871116368473,0.6308700353573811,0.45507653572776935,0.3295085189791365,0.26927264536798695,1209,,,True,ece,,42
churn,tabicl,icl,covariate_shift,0.0,1230650370,test_only,True,low,True,ok,,0.9713333333333334,0.9183427575295908,0.1212431644518947,0.17491691209643354,0.010359486151362372,0.41257299427615424,3500,,,False,,,42
churn,tabicl,icl,covariate_shift,0.05,744225428,test_only,True,low,True,ok,,0.9486666666666667,0.9116756269776163,0.18479970862395323,0.2666096231895027,0.037477414948914003,0.37390809949553205,3500,,,False,,,42
churn,tabicl,icl,covariate_shift,0.1,3492426655,test_only,True,low,True,ok,,0.9106666666666666,0.8778016231102778,0.2469408108475972,0.356260283202928,0.024332985994705018,0.3320858859287778,3500,,,False,,,42
churn,tabicl,icl,covariate_shift,0.2,1119641414,test_only,True,low,True,ok,,0.808,0.8016725506855737,0.4643582018677763,0.6699272750307571,0.08545400964442047,0.1837164083018396,3500,,,False,,,42
churn,tabicl,icl,covariate_shift,0.3,2078396232,test_only,True,low,True,ok,,0.714,0.7555208455408414,0.6255610665054036,0.9024938484205568,0.14429553674596987,0.07192503406393344,3500,,,True,ece;nll,,42
churn,tabicl,icl,covariate_shift,0.4,2263623152,test_only,True,low,True,ok,,0.5606666666666666,0.700451555724833,0.9291650543128547,1.34050181602448,0.273581314954163,-0.12760876329448506,3500,,,True,ece;nll,,42
churn,tabpfn_client,icl,covariate_shift,0.0,1230650370,test_only,True,low,True,ok,,0.9746666666666667,0.9263704148599555,0.11616613435942721,0.16759230595958666,0.013476172235868934,0.4174567189659346,3500,,,False,,,42
churn,tabpfn_client,icl,covariate_shift,0.05,744225428,test_only,True,low,True,ok,,0.9453333333333334,0.914369213641158,0.16886069175627658,0.2436144825978601,0.013805245730647828,0.3859838308489177,3500,,,False,,,42
churn,tabpfn_client,icl,covariate_shift,0.1,3492426655,test_only,True,low,True,ok,,0.9046666666666666,0.8663167994843549,0.2609286205337455,0.37644042687003276,0.04361625892631102,0.3172554999732522,3500,,,False,,,42
churn,tabpfn_client,icl,covariate_shift,0.2,1119641414,test_only,True,low,True,ok,,0.8106666666666666,0.7822900796906128,0.5055299310490143,0.7293255245453526,0.11323264270590358,0.15395734198692798,3500,,,True,ece,,42
churn,tabpfn_client,icl,covariate_shift,0.3,2078396232,test_only,True,low,True,ok,,0.6733333333333333,0.7046210301183641,0.9318085817964632,1.3443156200155355,0.2433870259899448,-0.1043547306612222,3500,,,True,ece;nll,,42
