seed,model,aure
42,tabicl,0.15833333333333335
42,tabpfn_client,0.15000000000000002
1337,tabicl,0.15
1337,tabpfn_client,0.13333333333333333
2025,tabicl,0.15416666666666667
2025,tabpfn_client,0.15208333333333335
