model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabicl,0.12083333333333333,0.10000000000000002,24,0.10625000000000001,0.0,8
tabpfn_client,0.11458333333333333,0.10416666666666667,24,0.09375,0.0,8
catboost,0.1125,0.11875000000000001,24,0.13125,0.0833,8
hist_gbdt,0.09583333333333334,0.14375000000000002,24,0.16875,0.4167,8
xgboost,0.08750000000000001,0.13541666666666669,24,0.15625,0.4167,8
logreg,0.060416666666666674,0.125,24,0.09375,0.3333,8
