model,cell,in_common,rho_grid,rho_self
tabpfn_client,"('credit-approval', 'covariate_shift')",False,0.1,0.1
tabpfn_client,"('credit-approval', 'label_noise')",False,0.2,0.1
tabpfn_client,"('credit-g', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('credit-g', 'label_noise')",False,0.1,0.1
tabpfn_client,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('eucalyptus', 'label_noise')",False,0.05,0.05
tabpfn_client,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('kr-vs-kp', 'label_noise')",False,0.0,0.05
tabpfn_client,"('optdigits', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('optdigits', 'label_noise')",True,0.1,0.1
tabpfn_client,"('pc1', 'covariate_shift')",False,0.0,0.05
tabpfn_client,"('pc1', 'label_noise')",False,0.05,0.05
tabpfn_client,"('splice', 'covariate_shift')",True,0.4,0.4
tabpfn_client,"('splice', 'label_noise')",True,0.05,0.05
tabpfn_client,"('steel-plates-fault', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('steel-plates-fault', 'label_noise')",True,0.05,0.05
tabpfn_client,"('vehicle', 'covariate_shift')",False,0.05,0.0
tabpfn_client,"('vehicle', 'label_noise')",False,0.1,0.05
tabpfn_client,"('wdbc', 'covariate_shift')",True,0.05,0.0
tabpfn_client,"('wdbc', 'label_noise')",True,0.1,0.0
xgboost,"('car', 'covariate_shift')",False,0.4,0.4
xgboost,"('car', 'label_noise')",False,0.05,0.05
xgboost,"('churn', 'covariate_shift')",False,0.0,0.05
xgboost,"('churn', 'label_noise')",False,0.0,0.1
xgboost,"('credit-approval', 'covariate_shift')",False,0.0,0.0
xgboost,"('credit-approval', 'label_noise')",False,0.0,0.1
xgboost,"('credit-g', 'covariate_shift')",False,0.0,0.4
xgboost,"('credit-g', 'label_noise')",False,0.0,0.05
xgboost,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
xgboost,"('eucalyptus', 'label_noise')",False,0.0,0.1
xgboost,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
xgboost,"('kr-vs-kp', 'label_noise')",False,0.0,0.0
xgboost,"('optdigits', 'covariate_shift')",True,0.1,0.1
xgboost,"('optdigits', 'label_noise')",True,0.2,0.2
xgboost,"('pc1', 'covariate_shift')",False,0.0,0.05
xgboost,"('pc1', 'label_noise')",False,0.0,0.0
xgboost,"('splice', 'covariate_shift')",True,0.4,0.4
xgboost,"('splice', 'label_noise')",True,0.05,0.1
xgboost,"('steel-plates-fault', 'covariate_shift')",True,0.4,0.4
xgboost,"('steel-plates-fault', 'label_noise')",True,0.05,0.05
xgboost,"('vehicle', 'covariate_shift')",False,0.0,0.05
xgboost,"('vehicle', 'label_noise')",False,0.0,0.2
xgboost,"('wdbc', 'covariate_shift')",True,0.0,0.0
xgboost,"('wdbc', 'label_noise')",True,0.05,0.05
