tau_utility,tau_ece,tau_nll,lambda0_fail_max,lambda0_fail_mean,n_common,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn_client,aure_xgboost,margin,margin_common
0.0,0.05,0.3,1.0,0.5722222222222222,0,0.0,0.0,0.009615384615384616,0.15769230769230771,0.16346153846153846,0.0,0.15769230769230771,
0.0,0.05,0.5,1.0,0.5722222222222222,0,0.0,0.0,0.009615384615384616,0.15769230769230771,0.16346153846153846,0.0,0.15769230769230771,
0.0,0.05,0.75,1.0,0.5722222222222222,0,0.0,0.0,0.009615384615384616,0.15769230769230771,0.16346153846153846,0.0,0.15769230769230771,
0.0,0.05,1.0,1.0,0.5722222222222222,0,0.0,0.0,0.009615384615384616,0.15769230769230771,0.16346153846153846,0.0,0.15769230769230771,
0.0,0.05,1.25,1.0,0.5722222222222222,0,0.0,0.0,0.009615384615384616,0.15769230769230771,0.16346153846153846,0.0,0.15769230769230771,
0.0,0.05,1.5,1.0,0.5722222222222222,0,0.0,0.0,0.009615384615384616,0.15769230769230771,0.16346153846153846,0.0,0.15769230769230771,
0.0,0.075,0.3,1.0,0.5388888888888889,0,0.0,0.0,0.04230769230769231,0.16730769230769232,0.1903846153846154,0.0,0.16730769230769232,
0.0,0.075,0.5,1.0,0.5388888888888889,0,0.0,0.0,0.04230769230769231,0.16730769230769232,0.1903846153846154,0.0,0.16730769230769232,
0.0,0.075,0.75,1.0,0.5388888888888889,0,0.0,0.0,0.04230769230769231,0.16730769230769232,0.1903846153846154,0.0,0.16730769230769232,
0.0,0.075,1.0,1.0,0.5388888888888889,0,0.0,0.0,0.04230769230769231,0.16730769230769232,0.1903846153846154,0.0,0.16730769230769232,
0.0,0.075,1.25,1.0,0.5388888888888889,0,0.0,0.0,0.04230769230769231,0.16730769230769232,0.1903846153846154,0.0,0.16730769230769232,
0.0,0.075,1.5,1.0,0.5388888888888889,0,0.0,0.0,0.04230769230769231,0.16730769230769232,0.1903846153846154,0.0,0.16730769230769232,
0.0,0.1,0.3,1.0,0.5111111111111112,0,0.0,0.0,0.05,0.16923076923076924,0.19423076923076923,0.0019230769230769232,0.16730769230769232,
0.0,0.1,0.5,1.0,0.5111111111111112,0,0.0,0.0,0.05,0.16923076923076924,0.19423076923076923,0.0019230769230769232,0.16730769230769232,
0.0,0.1,0.75,1.0,0.5111111111111112,0,0.0,0.0,0.05,0.16923076923076924,0.19423076923076923,0.0019230769230769232,0.16730769230769232,
0.0,0.1,1.0,1.0,0.5111111111111112,0,0.0,0.0,0.05,0.16923076923076924,0.19423076923076923,0.0019230769230769232,0.16730769230769232,
