model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabicl,0.23846153846153847,0.2,26,0.21000000000000002,0.1333,10
tabpfn_client,0.23461538461538464,0.19230769230769232,26,0.20500000000000002,0.1333,10
catboost,0.15769230769230771,0.16153846153846155,26,0.21000000000000002,0.1333,10
xgboost,0.1346153846153846,0.19230769230769232,26,0.225,0.3333,10
logreg,0.13076923076923078,0.22500000000000003,26,0.22000000000000003,0.5,10
hist_gbdt,0.09038461538461538,0.2,26,0.23500000000000001,0.6667,10
