calibration_share,margin,lambda0_fail_gbdt_max,lambda0_fail_icl_max,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn_client,aure_xgboost,order
0.0,0.028846153846153855,0.13333333333333333,0.13333333333333333,0.22307692307692312,0.15961538461538463,0.14615384615384616,0.26153846153846155,0.25192307692307697,0.19615384615384618,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.1,0.0346153846153846,0.3333333333333333,0.13333333333333333,0.21346153846153848,0.14807692307692308,0.14423076923076922,0.26153846153846155,0.24807692307692308,0.16923076923076924,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.2,0.03269230769230769,0.3333333333333333,0.13333333333333333,0.21346153846153848,0.14615384615384616,0.1423076923076923,0.24807692307692308,0.24615384615384617,0.15192307692307694,tabicl|tabpfn_client|catboost|xgboost|hist_gbdt|logreg
0.3,0.04615384615384613,0.5,0.13333333333333333,0.19423076923076926,0.11538461538461539,0.13653846153846155,0.24423076923076925,0.2403846153846154,0.15000000000000002,tabicl|tabpfn_client|catboost|xgboost|logreg|hist_gbdt
0.4,0.05576923076923079,0.5,0.13333333333333333,0.17884615384615385,0.1,0.1326923076923077,0.24423076923076925,0.23461538461538464,0.14807692307692308,tabicl|tabpfn_client|catboost|xgboost|logreg|hist_gbdt
0.5,0.07692307692307693,0.6666666666666666,0.13333333333333333,0.15769230769230771,0.09038461538461538,0.13076923076923078,0.23846153846153847,0.23461538461538464,0.1346153846153846,tabicl|tabpfn_client|catboost|xgboost|logreg|hist_gbdt
0.6,0.07692307692307693,0.6666666666666666,0.13333333333333333,0.15769230769230771,0.07884615384615386,0.13076923076923078,0.23461538461538464,0.23461538461538464,0.12692307692307694,tabpfn_client|tabicl|catboost|logreg|xgboost|hist_gbdt
0.7,0.08846153846153848,0.6666666666666666,0.13333333333333333,0.1423076923076923,0.07692307692307693,0.13076923076923078,0.23461538461538464,0.23076923076923078,0.11923076923076924,tabicl|tabpfn_client|catboost|logreg|xgboost|hist_gbdt
0.8,0.08461538461538465,0.6666666666666666,0.13333333333333333,0.14038461538461539,0.06923076923076923,0.13076923076923078,0.23076923076923078,0.22500000000000003,0.11923076923076924,tabicl|tabpfn_client|catboost|logreg|xgboost|hist_gbdt
0.9,0.09038461538461537,0.6666666666666666,0.13333333333333333,0.13076923076923078,0.06923076923076923,0.13076923076923078,0.23076923076923078,0.22115384615384615,0.1,tabicl|tabpfn_client|logreg|catboost|xgboost|hist_gbdt
1.0,0.09230769230769231,0.6666666666666666,0.13333333333333333,0.125,0.06923076923076923,0.12307692307692308,0.23076923076923078,0.2173076923076923,0.09038461538461538,tabicl|tabpfn_client|catboost|logreg|xgboost|hist_gbdt
