seed,model,aure
42,catboost,0.1125
42,hist_gbdt,0.09583333333333334
42,logreg,0.060416666666666674
42,tabicl,0.12083333333333333
42,tabpfn_client,0.11458333333333333
42,xgboost,0.08750000000000001
1337,catboost,0.10833333333333335
1337,hist_gbdt,0.09791666666666667
1337,logreg,0.05000000000000001
1337,tabicl,0.10833333333333334
1337,tabpfn_client,0.10625000000000001
1337,xgboost,0.09166666666666667
2025,catboost,0.10208333333333335
2025,hist_gbdt,0.08958333333333335
2025,logreg,0.056249999999999994
2025,tabicl,0.10625
2025,tabpfn_client,0.10208333333333335
2025,xgboost,0.09166666666666667
