dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
car,catboost,gbdt,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9788053949903661,0.9990234570350258,0.06655823430283597,0.04801161727951358,0.022979918783197745,0.4774795502703203,1209,xgboost,0.48636557107419304,False,,,42
car,catboost,gbdt,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9826589595375722,0.998943306787218,0.06704269913301142,0.04836108478350319,0.02731515522040763,0.4770576448270296,1209,xgboost,0.48636557107419304,False,,,42
car,catboost,gbdt,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.9730250481695568,0.9988478081671426,0.07065429683755556,0.05096630183251909,0.023784392509341,0.47550372103230953,1209,xgboost,0.48636557107419304,False,,,42
car,catboost,gbdt,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.9826589595375722,0.9991674574786549,0.06239956312522059,0.04501177013719679,0.025237993869630607,0.47855632423307987,1209,xgboost,0.48636557107419304,False,,,42
car,catboost,gbdt,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.9884393063583815,0.9992165581862376,0.062074901203420386,0.04477757606492347,0.03228451958295918,0.4781015145828715,1209,xgboost,0.48636557107419304,False,,,42
car,catboost,gbdt,covariate_shift,0.4,1149131185,test_only,True,low,True,ok,,0.9749518304431599,0.9990978669110091,0.06500743466765704,0.046892951807971046,0.026973536437093965,0.47646443515551706,1209,xgboost,0.48636557107419304,False,,,42
car,hist_gbdt,gbdt,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,,42
car,hist_gbdt,gbdt,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,,42
car,hist_gbdt,gbdt,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,,42
car,hist_gbdt,gbdt,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,,42
car,hist_gbdt,gbdt,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,,42
car,hist_gbdt,gbdt,covariate_shift,0.4,1149131185,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,,42
car,logreg,linear,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741763,0.22599314419010796,0.16301959419898662,0.04949749726950016,0.4212068587811807,1209,xgboost,0.48636557107419304,True,utility_gap,,42
car,logreg,linear,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741763,0.22599314419010796,0.16301959419898662,0.04949749726950016,0.4212068587811807,1209,xgboost,0.48636557107419304,True,utility_gap,,42
car,logreg,linear,covariate_shift,0.1,3859582947,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741763,0.22599314419010796,0.16301959419898662,0.04949749726950016,0.4212068587811807,1209,xgboost,0.48636557107419304,True,utility_gap,,42
car,logreg,linear,covariate_shift,0.2,1810657330,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741763,0.22599314419010796,0.16301959419898662,0.04949749726950016,0.4212068587811807,1209,xgboost,0.48636557107419304,True,utility_gap,,42
car,logreg,linear,covariate_shift,0.3,2876542023,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741763,0.22599314419010796,0.16301959419898662,0.04949749726950016,0.4212068587811807,1209,xgboost,0.48636557107419304,True,utility_gap,,42
car,logreg,linear,covariate_shift,0.4,1149131185,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741763,0.22599314419010796,0.16301959419898662,0.04949749726950016,0.4212068587811807,1209,xgboost,0.48636557107419304,True,utility_gap,,42
car,tabicl,icl,covariate_shift,0.0,753924289,test_only,True,low,True,ok,,0.9903660886319846,0.9998146330093713,0.02736603204397757,0.019740419359327452,0.008292567338571633,0.4909093955725651,1000,xgboost,0.48636557107419304,False,,,42
car,tabicl,icl,covariate_shift,0.05,721500663,test_only,True,low,True,ok,,0.9788053949903661,0.9994090413427213,0.04806006872232753,0.03466801140524235,0.007604990767462409,0.48469257214344214,1000,xgboost,0.48636557107419304,False,,,42
