dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
GesturePhaseSegmentation,tabpfn,icl,covariate_shift,0.0,3769533927,test_only,True,low,True,ok,,0.7937204591492235,0.9554020108544041,0.5704125230308206,0.354417227669338,0.047223032865691676,0.28837676762148035,0.04715120007895842,0.02463172317077738,1.2377448188225988,0.2257163857456642,0.33767899779748517,6911,,,False,,,42
GesturePhaseSegmentation,tabpfn,icl,covariate_shift,0.05,576091290,test_only,True,low,True,ok,,0.43821742066171504,0.8072327216793835,1.3836219971483767,0.8596926830534262,0.17552371289610047,0.7072329451404822,0.17712055235311688,0.10426640157820921,0.9820305176616697,-0.816744369521406,0.05525151819179357,6911,,,True,ece;nll,,42
GesturePhaseSegmentation,tabpfn,icl,covariate_shift,0.1,1248011282,test_only,True,low,True,ok,,0.37339635381498987,0.7248087702711702,1.8983267851250727,1.1794967488084453,0.26689138068131957,0.8484353627877331,0.2668913806813195,0.12842769954788794,0.6565012853464385,-0.987020104923108,-0.09753477811163949,6911,,,True,ece;nll,,42
GesturePhaseSegmentation,tabpfn,icl,covariate_shift,0.2,1130171545,test_only,True,low,True,ok,,0.3274814314652262,0.6247833573168672,2.9054903720314176,1.805282670169723,0.3968507769095337,1.01769225151446,0.39685077690953374,0.16881680143854294,-0.07253969499217579,-0.6378087113915051,-0.3531585666521362,6911,,,True,ece;nll,,42
GesturePhaseSegmentation,tabpfn,icl,covariate_shift,0.3,895557003,test_only,True,low,True,ok,,0.30722484807562456,0.5837910564017946,3.411786029012371,2.1198618490677994,0.45175698058781966,1.0811183802779163,0.45175698058781977,0.18727581323913306,-0.2689447444529661,-0.4592928464213273,-0.47589935388593196,6911,,,True,ece;nll,,42
GesturePhaseSegmentation,tabpfn,icl,covariate_shift,0.4,1723381249,test_only,True,low,True,ok,,0.300135043889264,0.5565183504176934,3.9190797344576787,2.435061150343163,0.44292871427526836,1.0781301036314035,0.4429287142752684,0.18639725997879428,-0.3742849416979281,-0.4172438437158257,-0.5793024087284203,6911,,,True,ece;nll,,42
GesturePhaseSegmentation,tabpfn,icl,label_noise,0.0,21559019,train_only,True,low,True,ok,,0.7937204591492235,0.9554020108544041,0.5704125230308206,0.354417227669338,0.047223032865691676,0.28837676762148035,0.04715120007895842,0.02463172317077738,1.2377448188225988,0.2257163857456642,0.33767899779748517,6911,,,False,,,42
GesturePhaseSegmentation,tabpfn,icl,label_noise,0.05,1868621072,train_only,True,low,True,ok,,0.7646860229574611,0.9427407204884293,0.6641963521623852,0.4126883970055485,0.07728261866292829,0.3338077180174423,0.07557687532899318,0.03607431936848017,1.4309505256376698,0.3245542490665708,0.30539911278031917,6911,,,False,,,42
GesturePhaseSegmentation,tabpfn,icl,label_noise,0.1,4024946937,train_only,True,low,True,ok,,0.7407157326130993,0.9351847761201657,0.7359336586946362,0.45726129166524754,0.11170703049731602,0.36954569014325106,0.11017305800634236,0.05071111750781178,1.6296314150104887,0.5116472239375152,0.27890223793498536,6911,,,True,ece,,42
GesturePhaseSegmentation,tabpfn,icl,label_noise,0.2,948246684,train_only,True,low,True,ok,,0.7015530047265361,0.9084140246695412,0.8951552339382423,0.5561912186997118,0.16335937001598705,0.4472869934031772,0.163359370015987,0.06732447472437073,1.774698417741919,0.8661026567701108,0.22364861973020897,6911,,,True,ece,,42
GesturePhaseSegmentation,tabpfn,icl,label_noise,0.3,1420310000,train_only,True,low,True,ok,,0.6596893990546928,0.8834202493985011,1.0383248448810043,0.6451474995457579,0.19801243521702516,0.5187354237428256,0.1980124352170251,0.08482468626450011,2.0203229364998894,1.1848798799769882,0.17500376024054687,6911,,,True,ece,,42
GesturePhaseSegmentation,tabpfn,icl,label_noise,0.4,2189272610,train_only,True,low,True,ok,,0.6218771100607697,0.8615935872489027,1.1897333721250394,0.7392229069126977,0.24639415459288952,0.597850144299244,0.24639415459288957,0.10879182246235934,2.5873448956446103,2.0215477005646196,0.12379361905384414,6911,,,True,ece,,42
MiceProtein,tabpfn,icl,covariate_shift,0.0,1840962595,test_only,True,low,True,ok,,1.0,1.0,0.0013673566356488527,0.0006575595457924057,0.001234640865016533,0.0004369738772682096,0.0012346408650167175,0.0003086602162541771,,,0.49955580396325894,756,,,False,,,42
MiceProtein,tabpfn,icl,covariate_shift,0.05,2751999018,test_only,True,low,True,ok,,1.0,1.0,0.0023323179726610047,0.0011216078576447442,0.0020119017387813997,0.0008352861734622754,0.0020119017387814496,0.0005029754346953686,,,0.49926113729495025,756,,,False,,,42
MiceProtein,tabpfn,icl,covariate_shift,0.1,3829923467,test_only,True,low,True,ok,,1.0,1.0,0.011583738931901174,0.005570600904002081,0.01038133476997126,0.0034857871722189506,0.010381334769971324,0.0025953336924928357,,,0.4962525527748051,756,,,False,,,42
MiceProtein,tabpfn,icl,covariate_shift,0.2,192904173,test_only,True,low,True,ok,,0.9753086419753086,0.9997463887767064,0.09990168745352741,0.04804255635521439,0.05436750298246726,0.03979527226529531,0.04980405837579371,0.018520300127659976,2.084333471712145,0.14110334762396798,0.47092126486508573,756,,,False,,,42
MiceProtein,tabpfn,icl,covariate_shift,0.3,4159115833,test_only,True,low,True,ok,,0.9351851851851852,0.9963408706929504,0.3601236592483078,0.17318287243477354,0.17731083968904066,0.16851320129763847,0.1754791182660646,0.052247348424507706,1.576433745401056,1.3588896165862538,0.40158005285207016,756,,,True,ece,,42
MiceProtein,tabpfn,icl,covariate_shift,0.4,1313214229,test_only,True,low,True,ok,,0.8055555555555556,0.990477294300415,0.5967793661153008,0.28699021066646785,0.16795671771195295,0.309875492756385,0.16637622599838495,0.07438164220379882,1.5622614818261213,0.8242578878879099,0.3478119795961476,756,,,True,ece,,42
MiceProtein,tabpfn,icl,label_noise,0.0,1806994671,train_only,True,low,True,ok,,1.0,1.0,0.0013673566356488527,0.0006575595457924057,0.001234640865016533,0.0004369738772682096,0.0012346408650167175,0.0003086602162541771,,,0.49955580396325894,756,,,False,,,42
MiceProtein,tabpfn,icl,label_noise,0.05,180589592,train_only,True,low,True,ok,,0.9969135802469136,1.0,0.0450377870781175,0.02165859735673772,0.041992671255078245,0.005737633582200748,0.03878263289410877,0.010589425941446766,6.44528278281712,-3.767741048760236,0.484640923579,756,,,False,,,42
MiceProtein,tabpfn,icl,label_noise,0.1,2534801200,train_only,True,low,True,ok,,0.9938271604938271,0.9999601752289924,0.11345794656961183,0.054561738955141326,0.08890728962361288,0.02559826451633985,0.08890728962361295,0.02318502683771547,5.038932090531633,0.5827113243912057,0.46491015579295636,756,,,False,,,42
MiceProtein,tabpfn,icl,label_noise,0.2,3311274085,train_only,True,low,True,ok,,0.9938271604938271,0.9999800876144962,0.21074071675116224,0.10134486232342917,0.17634177666021955,0.05128977967565576,0.17634177666021958,0.045671758787243374,4.076415750856083,1.8847998580243948,0.43339529071007504,756,,,True,ece,,42
MiceProtein,tabpfn,icl,label_noise,0.3,2581586098,train_only,True,low,True,ok,,0.9691358024691358,0.999893106773857,0.37013649968265766,0.17799803084805654,0.26808539885900734,0.12357751095627495,0.25958168058830317,0.07281020611318856,10.945620651288785,1.2428785114532068,0.3883164687150019,756,,,True,ece,,42
MiceProtein,tabpfn,icl,label_noise,0.4,3498261245,train_only,True,low,True,ok,,0.9814814814814815,0.9992663406672653,0.5855323732443837,0.2815815503865393,0.4008122308615361,0.23262724352318795,0.40081223086153617,0.10289303919742165,1.8498264436777168,3.8894629023866973,0.33232853016749603,756,,,True,ece,,42
PhishingWebsites,tabpfn,icl,covariate_shift,0.0,244430498,test_only,False,high,True,ok,,0.9804039794995478,0.9985223325930263,0.049400678507606814,0.07127011389947435,0.005887789465393955,0.03015519536286945,0.0023202971757377146,0.0067631680409915955,1.0174375172653212,0.12122835020495802,0.47398482126957026,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,covariate_shift,0.05,2225126729,test_only,False,high,True,ok,,0.9788965933072054,0.9984961824469907,0.04957858840919398,0.07152678363221919,0.005839877655856758,0.03025700035567636,0.001871295235006104,0.005775423994970982,1.1194910422771218,-0.0895165054782293,0.47368214223169036,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,covariate_shift,0.1,3147618039,test_only,False,high,True,ok,,0.9807054567380162,0.998542589748406,0.048843708436610705,0.07046657594012469,0.0035725478909819936,0.029800073932132812,0.0025841833954925266,0.00580142140864004,1.0275073235991508,0.12740678364519595,0.47474124256241074,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,covariate_shift,0.2,2063309081,test_only,False,high,True,ok,,0.9798010250226108,0.9985064951806385,0.04954354074501616,0.07147622054091511,0.005423292567633589,0.030276986237131882,0.0020303369501773376,0.005783012170612148,1.0617539264213653,0.042560393748913176,0.47391990239081383,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,covariate_shift,0.3,2757184592,test_only,False,high,True,ok,,0.9791980705456738,0.9985031803733947,0.04971977389983647,0.07173047123941459,0.005058564694792897,0.030361525491442092,0.0015220524923646435,0.00653575030679507,1.0683250301563707,-0.0027322402041436954,0.4738249694017562,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,covariate_shift,0.4,712995845,test_only,False,high,True,ok,,0.9794995477841423,0.9984994972542348,0.049612270459032166,0.07157537655848772,0.005773145658256652,0.030290959000233268,0.0017023549166197418,0.006663014387144107,1.0600656314387114,0.017314274755122174,0.47377251410740584,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,label_noise,0.0,3617682713,train_only,False,high,True,ok,,0.9804039794995478,0.9985223325930263,0.049400678507606814,0.07127011389947435,0.005887789465393955,0.03015519536286945,0.0023202971757377146,0.0067631680409915955,1.0174375172653212,0.12122835020495802,0.47398482126957026,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,label_noise,0.05,2717091300,train_only,False,high,True,ok,,0.9734700030147724,0.9977422479549481,0.09178460513239087,0.132417194654452,0.04130175395334335,0.03949445725669812,0.037214532500258975,0.04198817837522287,2.149963948874209,-0.6726149298921518,0.4472447780494434,7738,,,False,,,42
PhishingWebsites,tabpfn,icl,label_noise,0.1,2527007331,train_only,False,high,True,ok,,0.969550798914682,0.9968792931357708,0.13940190567455624,0.20111443800715334,0.0810272114819848,0.054707728222977856,0.07649666790541053,0.0820654219570707,2.6780316531690738,-0.7680885478580876,0.4178005987361791,7738,,,False,,,42
