model,cell,in_common,rho_grid,rho_self
catboost,"('car', 'covariate_shift', 42)",False,0.4,0.4
catboost,"('car', 'covariate_shift', 1337)",False,0.4,0.4
catboost,"('car', 'covariate_shift', 2025)",False,0.4,0.4
catboost,"('car', 'label_noise', 42)",False,0.0,0.05
catboost,"('car', 'label_noise', 1337)",False,0.0,0.05
catboost,"('car', 'label_noise', 2025)",False,0.05,0.05
catboost,"('churn', 'covariate_shift', 42)",False,0.05,0.05
catboost,"('churn', 'covariate_shift', 1337)",False,0.05,0.05
catboost,"('churn', 'covariate_shift', 2025)",False,0.05,0.05
catboost,"('churn', 'label_noise', 42)",False,0.05,0.05
catboost,"('churn', 'label_noise', 1337)",False,0.05,0.05
catboost,"('churn', 'label_noise', 2025)",False,0.05,0.05
catboost,"('credit-approval', 'covariate_shift', 42)",False,0.1,0.1
catboost,"('credit-approval', 'covariate_shift', 1337)",False,0.0,0.0
catboost,"('credit-approval', 'covariate_shift', 2025)",False,0.0,0.0
catboost,"('credit-approval', 'label_noise', 42)",False,0.1,0.1
catboost,"('credit-approval', 'label_noise', 1337)",False,0.05,0.05
catboost,"('credit-approval', 'label_noise', 2025)",False,0.05,0.05
catboost,"('credit-g', 'covariate_shift', 42)",False,0.4,0.4
catboost,"('credit-g', 'covariate_shift', 1337)",False,0.4,0.4
catboost,"('credit-g', 'covariate_shift', 2025)",False,0.1,0.4
catboost,"('credit-g', 'label_noise', 42)",False,0.1,0.1
catboost,"('credit-g', 'label_noise', 1337)",False,0.05,0.05
catboost,"('credit-g', 'label_noise', 2025)",False,0.1,0.1
catboost,"('eucalyptus', 'covariate_shift', 42)",False,0.0,0.0
catboost,"('eucalyptus', 'covariate_shift', 1337)",False,0.0,0.05
catboost,"('eucalyptus', 'covariate_shift', 2025)",False,0.0,0.0
catboost,"('eucalyptus', 'label_noise', 42)",False,0.0,0.1
catboost,"('eucalyptus', 'label_noise', 1337)",False,0.0,0.2
catboost,"('eucalyptus', 'label_noise', 2025)",False,0.0,0.1
catboost,"('kr-vs-kp', 'covariate_shift', 42)",False,0.4,0.4
catboost,"('kr-vs-kp', 'covariate_shift', 1337)",False,0.4,0.4
catboost,"('kr-vs-kp', 'covariate_shift', 2025)",False,0.4,0.4
catboost,"('kr-vs-kp', 'label_noise', 42)",False,0.0,0.0
catboost,"('kr-vs-kp', 'label_noise', 1337)",False,0.0,0.0
catboost,"('kr-vs-kp', 'label_noise', 2025)",False,0.0,0.0
catboost,"('optdigits', 'covariate_shift', 42)",True,0.1,0.1
catboost,"('optdigits', 'covariate_shift', 1337)",True,0.1,0.1
catboost,"('optdigits', 'covariate_shift', 2025)",True,0.1,0.1
catboost,"('optdigits', 'label_noise', 42)",True,0.05,0.05
catboost,"('optdigits', 'label_noise', 1337)",True,0.05,0.05
catboost,"('optdigits', 'label_noise', 2025)",True,0.05,0.05
catboost,"('pc1', 'covariate_shift', 42)",False,0.0,0.0
catboost,"('pc1', 'covariate_shift', 1337)",False,0.0,0.0
catboost,"('pc1', 'covariate_shift', 2025)",True,0.0,0.0
catboost,"('pc1', 'label_noise', 42)",False,0.0,0.0
catboost,"('pc1', 'label_noise', 1337)",False,0.05,0.05
catboost,"('pc1', 'label_noise', 2025)",True,0.05,0.05
catboost,"('splice', 'covariate_shift', 42)",True,0.4,0.4
catboost,"('splice', 'covariate_shift', 1337)",True,0.4,0.4
catboost,"('splice', 'covariate_shift', 2025)",True,0.4,0.4
catboost,"('splice', 'label_noise', 42)",True,0.05,0.05
catboost,"('splice', 'label_noise', 1337)",True,0.1,0.1
catboost,"('splice', 'label_noise', 2025)",True,0.1,0.1
catboost,"('steel-plates-fault', 'covariate_shift', 42)",True,0.4,0.4
catboost,"('steel-plates-fault', 'covariate_shift', 1337)",True,0.4,0.4
catboost,"('steel-plates-fault', 'covariate_shift', 2025)",True,0.4,0.4
catboost,"('steel-plates-fault', 'label_noise', 42)",True,0.0,0.0
catboost,"('steel-plates-fault', 'label_noise', 1337)",True,0.0,0.0
catboost,"('steel-plates-fault', 'label_noise', 2025)",True,0.0,0.0
catboost,"('vehicle', 'covariate_shift', 42)",False,0.0,0.0
catboost,"('vehicle', 'covariate_shift', 1337)",False,0.0,0.05
catboost,"('vehicle', 'covariate_shift', 2025)",False,0.0,0.0
catboost,"('vehicle', 'label_noise', 42)",False,0.05,0.05
catboost,"('vehicle', 'label_noise', 1337)",False,0.0,0.2
catboost,"('vehicle', 'label_noise', 2025)",False,0.05,0.05
catboost,"('wdbc', 'covariate_shift', 42)",True,0.0,0.0
catboost,"('wdbc', 'covariate_shift', 1337)",True,0.05,0.05
catboost,"('wdbc', 'covariate_shift', 2025)",False,0.0,0.0
catboost,"('wdbc', 'label_noise', 42)",True,0.05,0.05
catboost,"('wdbc', 'label_noise', 1337)",True,0.05,0.05
catboost,"('wdbc', 'label_noise', 2025)",False,0.1,0.1
hist_gbdt,"('car', 'covariate_shift', 42)",False,0.4,0.4
hist_gbdt,"('car', 'covariate_shift', 1337)",False,0.4,0.4
hist_gbdt,"('car', 'covariate_shift', 2025)",False,0.4,0.4
hist_gbdt,"('car', 'label_noise', 42)",False,0.05,0.05
hist_gbdt,"('car', 'label_noise', 1337)",False,0.05,0.05
hist_gbdt,"('car', 'label_noise', 2025)",False,0.05,0.05
hist_gbdt,"('churn', 'covariate_shift', 42)",False,0.05,0.05
hist_gbdt,"('churn', 'covariate_shift', 1337)",False,0.0,0.05
hist_gbdt,"('churn', 'covariate_shift', 2025)",False,0.0,0.05
hist_gbdt,"('churn', 'label_noise', 42)",False,0.05,0.05
hist_gbdt,"('churn', 'label_noise', 1337)",False,0.05,0.05
hist_gbdt,"('churn', 'label_noise', 2025)",False,0.05,0.05
hist_gbdt,"('credit-approval', 'covariate_shift', 42)",False,0.0,0.0
hist_gbdt,"('credit-approval', 'covariate_shift', 1337)",False,0.0,0.0
hist_gbdt,"('credit-approval', 'covariate_shift', 2025)",False,0.0,0.0
hist_gbdt,"('credit-approval', 'label_noise', 42)",False,0.0,0.1
hist_gbdt,"('credit-approval', 'label_noise', 1337)",False,0.05,0.1
hist_gbdt,"('credit-approval', 'label_noise', 2025)",False,0.0,0.1
hist_gbdt,"('credit-g', 'covariate_shift', 42)",False,0.0,0.4
hist_gbdt,"('credit-g', 'covariate_shift', 1337)",False,0.0,0.4
hist_gbdt,"('credit-g', 'covariate_shift', 2025)",False,0.0,0.2
hist_gbdt,"('credit-g', 'label_noise', 42)",False,0.0,0.2
hist_gbdt,"('credit-g', 'label_noise', 1337)",False,0.0,0.2
hist_gbdt,"('credit-g', 'label_noise', 2025)",False,0.0,0.1
hist_gbdt,"('eucalyptus', 'covariate_shift', 42)",False,0.0,0.0
hist_gbdt,"('eucalyptus', 'covariate_shift', 1337)",False,0.0,0.0
hist_gbdt,"('eucalyptus', 'covariate_shift', 2025)",False,0.0,0.0
hist_gbdt,"('eucalyptus', 'label_noise', 42)",False,0.0,0.1
hist_gbdt,"('eucalyptus', 'label_noise', 1337)",False,0.0,0.1
hist_gbdt,"('eucalyptus', 'label_noise', 2025)",False,0.0,0.2
hist_gbdt,"('kr-vs-kp', 'covariate_shift', 42)",False,0.4,0.4
hist_gbdt,"('kr-vs-kp', 'covariate_shift', 1337)",False,0.4,0.4
hist_gbdt,"('kr-vs-kp', 'covariate_shift', 2025)",False,0.4,0.4
hist_gbdt,"('kr-vs-kp', 'label_noise', 42)",False,0.0,0.0
hist_gbdt,"('kr-vs-kp', 'label_noise', 1337)",False,0.0,0.0
hist_gbdt,"('kr-vs-kp', 'label_noise', 2025)",False,0.0,0.0
hist_gbdt,"('optdigits', 'covariate_shift', 42)",True,0.1,0.1
hist_gbdt,"('optdigits', 'covariate_shift', 1337)",True,0.1,0.1
hist_gbdt,"('optdigits', 'covariate_shift', 2025)",True,0.1,0.1
hist_gbdt,"('optdigits', 'label_noise', 42)",True,0.2,0.2
hist_gbdt,"('optdigits', 'label_noise', 1337)",True,0.2,0.2
hist_gbdt,"('optdigits', 'label_noise', 2025)",True,0.2,0.2
hist_gbdt,"('pc1', 'covariate_shift', 42)",False,0.0,0.0
hist_gbdt,"('pc1', 'covariate_shift', 1337)",False,0.0,0.0
hist_gbdt,"('pc1', 'covariate_shift', 2025)",True,0.0,0.0
hist_gbdt,"('pc1', 'label_noise', 42)",False,0.0,0.0
hist_gbdt,"('pc1', 'label_noise', 1337)",False,0.0,0.05
hist_gbdt,"('pc1', 'label_noise', 2025)",True,0.0,0.0
hist_gbdt,"('splice', 'covariate_shift', 42)",True,0.4,0.4
hist_gbdt,"('splice', 'covariate_shift', 1337)",True,0.4,0.4
hist_gbdt,"('splice', 'covariate_shift', 2025)",True,0.4,0.4
hist_gbdt,"('splice', 'label_noise', 42)",True,0.1,0.2
hist_gbdt,"('splice', 'label_noise', 1337)",True,0.1,0.2
hist_gbdt,"('splice', 'label_noise', 2025)",True,0.1,0.1
hist_gbdt,"('steel-plates-fault', 'covariate_shift', 42)",True,0.4,0.4
hist_gbdt,"('steel-plates-fault', 'covariate_shift', 1337)",True,0.4,0.4
hist_gbdt,"('steel-plates-fault', 'covariate_shift', 2025)",True,0.4,0.4
hist_gbdt,"('steel-plates-fault', 'label_noise', 42)",True,0.05,0.05
hist_gbdt,"('steel-plates-fault', 'label_noise', 1337)",True,0.05,0.05
hist_gbdt,"('steel-plates-fault', 'label_noise', 2025)",True,0.05,0.05
hist_gbdt,"('vehicle', 'covariate_shift', 42)",False,0.0,0.05
hist_gbdt,"('vehicle', 'covariate_shift', 1337)",False,0.0,0.0
hist_gbdt,"('vehicle', 'covariate_shift', 2025)",False,0.0,0.1
hist_gbdt,"('vehicle', 'label_noise', 42)",False,0.0,0.2
