calibration_share,margin,lambda0_fail_gbdt_max,lambda0_fail_icl_max,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn_client,aure_xgboost,order
0.0,-0.0027777777777777957,0.3333333333333333,0.0,0.13472222222222224,0.11527777777777778,0.09930555555555556,0.13680555555555554,0.13194444444444445,0.11805555555555555,tabicl|catboost|tabpfn_client|xgboost|hist_gbdt|logreg
0.1,0.005555555555555564,0.3333333333333333,0.0,0.12569444444444444,0.11180555555555556,0.09166666666666667,0.13541666666666666,0.13125,0.11180555555555556,tabicl|tabpfn_client|catboost|hist_gbdt|xgboost|logreg
0.2,0.006944444444444434,0.3333333333333333,0.0,0.12013888888888889,0.10416666666666667,0.08263888888888889,0.13055555555555556,0.12708333333333333,0.10347222222222223,tabicl|tabpfn_client|catboost|hist_gbdt|xgboost|logreg
0.3,-0.0006944444444444559,0.4444444444444444,0.0,0.11736111111111112,0.10069444444444445,0.07222222222222223,0.12222222222222223,0.11666666666666667,0.09652777777777778,tabicl|catboost|tabpfn_client|hist_gbdt|xgboost|logreg
0.4,0.0,0.4444444444444444,0.0,0.1111111111111111,0.09791666666666668,0.0625,0.11736111111111112,0.1111111111111111,0.09166666666666667,tabicl|catboost|tabpfn_client|hist_gbdt|xgboost|logreg
0.5,0.0,0.4444444444444444,0.0,0.1076388888888889,0.09444444444444446,0.05555555555555555,0.11180555555555556,0.1076388888888889,0.09027777777777778,tabicl|catboost|tabpfn_client|hist_gbdt|xgboost|logreg
0.6,-0.005555555555555564,0.5,0.0,0.10555555555555557,0.08402777777777778,0.04027777777777778,0.10625000000000001,0.1,0.08819444444444445,tabicl|catboost|tabpfn_client|xgboost|hist_gbdt|logreg
0.7,-0.008333333333333331,0.5,0.0,0.10347222222222223,0.07777777777777778,0.03680555555555556,0.09930555555555556,0.0951388888888889,0.08680555555555555,catboost|tabicl|tabpfn_client|xgboost|hist_gbdt|logreg
0.8,-0.0069444444444444475,0.5277777777777778,0.0,0.1013888888888889,0.07569444444444445,0.03680555555555556,0.09652777777777778,0.09444444444444446,0.08541666666666667,catboost|tabicl|tabpfn_client|xgboost|hist_gbdt|logreg
0.9,-0.0076388888888888895,0.5277777777777778,0.0,0.1,0.07152777777777779,0.02986111111111111,0.09583333333333334,0.09236111111111112,0.08333333333333333,catboost|tabicl|tabpfn_client|xgboost|hist_gbdt|logreg
1.0,-0.008333333333333331,0.5555555555555556,0.0,0.1,0.06944444444444445,0.028472222222222225,0.09236111111111112,0.09166666666666667,0.07916666666666666,catboost|tabicl|tabpfn_client|xgboost|hist_gbdt|logreg
