tau_utility,tau_ece,tau_nll,lambda0_fail_max,lambda0_fail_mean,n_common,aure_catboost,aure_hist_gbdt,aure_logreg,aure_tabicl,aure_tabpfn_client,aure_xgboost,margin,margin_common
0.0,0.05,0.3,0.9166666666666666,0.6574074074074074,0,0.0006944444444444445,0.05,0.001388888888888889,0.018750000000000003,0.013888888888888888,0.03888888888888889,-0.036111111111111115,
0.0,0.05,0.5,0.9166666666666666,0.6342592592592592,0,0.0006944444444444445,0.05,0.001388888888888889,0.018750000000000003,0.013888888888888888,0.03888888888888889,-0.036111111111111115,
0.0,0.05,0.75,0.9166666666666666,0.611111111111111,0,0.0006944444444444445,0.05,0.001388888888888889,0.019444444444444445,0.018750000000000003,0.03888888888888889,-0.03125,
0.0,0.05,1.0,0.9166666666666666,0.611111111111111,0,0.0006944444444444445,0.05,0.001388888888888889,0.019444444444444445,0.020138888888888887,0.03888888888888889,-0.030555555555555558,
0.0,0.05,1.25,0.9166666666666666,0.611111111111111,0,0.0006944444444444445,0.05,0.001388888888888889,0.019444444444444445,0.020138888888888887,0.03888888888888889,-0.030555555555555558,
0.0,0.05,1.5,0.9166666666666666,0.611111111111111,0,0.0006944444444444445,0.05,0.001388888888888889,0.019444444444444445,0.020138888888888887,0.03888888888888889,-0.030555555555555558,
0.0,0.075,0.3,0.9166666666666666,0.648148148148148,0,0.001388888888888889,0.05,0.001388888888888889,0.02291666666666667,0.015972222222222224,0.03888888888888889,-0.03402777777777778,
0.0,0.075,0.5,0.8611111111111112,0.6018518518518517,0,0.001388888888888889,0.05,0.001388888888888889,0.025,0.016666666666666666,0.03888888888888889,-0.03333333333333334,
0.0,0.075,0.75,0.8611111111111112,0.550925925925926,0,0.005555555555555556,0.05,0.001388888888888889,0.03333333333333333,0.02291666666666667,0.03888888888888889,-0.027083333333333334,
0.0,0.075,1.0,0.8611111111111112,0.550925925925926,0,0.005555555555555556,0.05,0.001388888888888889,0.03333333333333333,0.024305555555555556,0.03888888888888889,-0.025694444444444447,
0.0,0.075,1.25,0.8611111111111112,0.550925925925926,0,0.005555555555555556,0.05,0.001388888888888889,0.03333333333333333,0.024305555555555556,0.03888888888888889,-0.025694444444444447,
0.0,0.075,1.5,0.8611111111111112,0.550925925925926,0,0.005555555555555556,0.05,0.001388888888888889,0.03333333333333333,0.024305555555555556,0.03888888888888889,-0.025694444444444447,
0.0,0.1,0.3,0.9166666666666666,0.648148148148148,0,0.001388888888888889,0.05,0.001388888888888889,0.025,0.018055555555555557,0.03888888888888889,-0.03194444444444444,
0.0,0.1,0.5,0.8055555555555556,0.5787037037037037,0,0.001388888888888889,0.05,0.0041666666666666675,0.028472222222222225,0.020833333333333332,0.03888888888888889,-0.02916666666666667,
0.0,0.1,0.75,0.8055555555555556,0.5277777777777777,0,0.00625,0.05,0.0041666666666666675,0.03680555555555556,0.027083333333333334,0.03888888888888889,-0.02291666666666667,
0.0,0.1,1.0,0.8055555555555556,0.5277777777777777,0,0.00625,0.05,0.0041666666666666675,0.03680555555555556,0.028472222222222225,0.03888888888888889,-0.021527777777777778,
0.0,0.1,1.25,0.8055555555555556,0.5277777777777777,0,0.00625,0.05,0.0041666666666666675,0.03680555555555556,0.028472222222222225,0.03888888888888889,-0.021527777777777778,
0.0,0.1,1.5,0.8055555555555556,0.5277777777777777,0,0.00625,0.05,0.0041666666666666675,0.03680555555555556,0.028472222222222225,0.03888888888888889,-0.021527777777777778,
0.0,0.125,0.3,0.9166666666666666,0.648148148148148,0,0.001388888888888889,0.05,0.001388888888888889,0.025,0.019444444444444445,0.03888888888888889,-0.030555555555555558,
0.0,0.125,0.5,0.8055555555555556,0.5694444444444445,0,0.0020833333333333337,0.05,0.004861111111111111,0.03125,0.025,0.03888888888888889,-0.025,
0.0,0.125,0.75,0.8055555555555556,0.5138888888888888,0,0.0076388888888888895,0.05,0.004861111111111111,0.03958333333333333,0.03125,0.03888888888888889,-0.018750000000000003,
0.0,0.125,1.0,0.8055555555555556,0.5138888888888888,0,0.0076388888888888895,0.05,0.004861111111111111,0.03958333333333333,0.03263888888888889,0.03888888888888889,-0.017361111111111112,
0.0,0.125,1.25,0.8055555555555556,0.5138888888888888,0,0.0076388888888888895,0.05,0.004861111111111111,0.03958333333333333,0.03263888888888889,0.03888888888888889,-0.017361111111111112,
0.0,0.125,1.5,0.8055555555555556,0.5138888888888888,0,0.0076388888888888895,0.05,0.004861111111111111,0.03958333333333333,0.03263888888888889,0.03888888888888889,-0.017361111111111112,
0.0,0.15,0.3,0.9166666666666666,0.648148148148148,0,0.001388888888888889,0.05,0.001388888888888889,0.025,0.019444444444444445,0.03888888888888889,-0.030555555555555558,
0.0,0.15,0.5,0.8055555555555556,0.5648148148148149,0,0.003472222222222222,0.05,0.004861111111111111,0.03263888888888889,0.025,0.03888888888888889,-0.025,
0.0,0.15,0.75,0.8055555555555556,0.5092592592592592,0,0.009027777777777779,0.05,0.004861111111111111,0.04097222222222222,0.03125,0.03888888888888889,-0.018750000000000003,
