model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabicl,0.11180555555555556,0.10069444444444446,72,0.10000000000000002,0.0,24
catboost,0.1076388888888889,0.12291666666666666,72,0.1375,0.1111,24
tabpfn_client,0.1076388888888889,0.09930555555555556,72,0.08958333333333333,0.0,24
hist_gbdt,0.09444444444444446,0.1375,72,0.16666666666666666,0.3889,24
xgboost,0.09027777777777778,0.1326388888888889,72,0.16041666666666668,0.4444,24
logreg,0.05555555555555555,0.125,72,0.09999999999999999,0.3333,24
