aure,robust_fraction,abs_utility_area,abs_ece_radius,abs_auc_radius,self_ref_radius,auc_retention,utility_drop,admitted,rho_grid,model,dataset_id
0.0,0.16666666666666666,0.005,0.0,0.0,0.0,0.7571667667040725,0.47817633249462776,True,0.0,catboost,GesturePhaseSegmentation
0.0,0.16666666666666666,0.004656258248525867,0.0,0.0,0.0,0.745286337616118,0.46845140300182325,True,0.0,catboost,GesturePhaseSegmentation
0.0,0.16666666666666666,0.005,0.0,0.0,0.0,0.7458341141746081,0.5096672912271605,True,0.0,catboost,GesturePhaseSegmentation
0.1,0.5,0.012205834803619331,0.4,0.0,0.1,0.9518148515382931,0.048353073111400226,True,0.1,catboost,GesturePhaseSegmentation
0.1,0.5,0.010414110132478935,0.4,0.0,0.1,0.9486580291083275,0.05051435399615804,True,0.1,catboost,GesturePhaseSegmentation
0.1,0.5,0.009113052086684878,0.4,0.0,0.1,0.9493022300230856,0.058821179854702775,True,0.1,catboost,GesturePhaseSegmentation
0.05,0.3333333333333333,0.007326954442705896,0.1,0.1,0.05,0.9141626546188564,0.2858246287496208,True,0.05,catboost,MiceProtein
0.05,0.3333333333333333,0.007352182046957173,0.2,0.2,0.05,0.9350341265004645,0.259194841822908,True,0.05,catboost,MiceProtein
0.05,0.3333333333333333,0.007942621179015555,0.05,0.2,0.05,0.929909584075223,0.2663678903218171,True,0.05,catboost,MiceProtein
0.0,0.16666666666666666,0.00554568194674986,0.0,0.4,0.05,0.9915510942251065,0.08739305512304471,True,0.0,catboost,MiceProtein
0.0,0.16666666666666666,0.004898453239233176,0.0,0.4,0.05,0.992996499960026,0.0895243896568401,True,0.0,catboost,MiceProtein
0.05,0.3333333333333333,0.005725974866986172,0.05,0.4,0.05,0.992898189700167,0.08375323630584713,True,0.05,catboost,MiceProtein
0.4,1.0,0.028548812812810697,0.4,0.4,0.4,1.0000622807843833,-0.0005410352995652956,True,0.4,catboost,PhishingWebsites
0.4,1.0,0.029426890504592695,0.4,0.4,0.4,0.9999130924325643,-0.00010073512772216243,True,0.4,catboost,PhishingWebsites
0.4,1.0,0.029233612319646652,0.4,0.4,0.4,0.9998647585302356,0.0007874917416942018,True,0.4,catboost,PhishingWebsites
0.0,0.16666666666666666,0.004682991677195492,0.1,0.3,0.0,0.9586103923209197,0.15709126311699947,True,0.0,catboost,PhishingWebsites
0.0,0.16666666666666666,0.004890490760804038,0.1,0.3,0.0,0.9569318963727195,0.15194359257888052,True,0.0,catboost,PhishingWebsites
0.0,0.16666666666666666,0.0049816425729541924,0.1,0.3,0.0,0.9594775171218103,0.15665256864783944,True,0.0,catboost,PhishingWebsites
0.05,0.3333333333333333,0.00945402309020251,0.1,0.2,0.05,0.9576068137053373,0.3136767526732559,True,0.05,catboost,analcatdata_authorship
0.1,0.5,0.008864546881336283,0.1,0.2,0.1,0.9510506540087189,0.3272765366392082,True,0.1,catboost,analcatdata_authorship
0.05,0.3333333333333333,0.00815016377744592,0.1,0.2,0.05,0.9593174784467905,0.3056802038400902,True,0.05,catboost,analcatdata_authorship
0.1,0.5,0.009033811329077454,0.1,0.4,0.1,0.9937129610165101,0.07716332128172156,True,0.1,catboost,analcatdata_authorship
0.1,0.5,0.009849767893869247,0.1,0.4,0.1,0.9931170692428173,0.06602129049020576,True,0.1,catboost,analcatdata_authorship
0.1,0.5,0.008310556325650245,0.1,0.4,0.1,0.9934030179061979,0.07288122520640995,True,0.1,catboost,analcatdata_authorship
0.1,0.5,0.011552379448915148,0.1,0.4,0.1,0.9963588550622028,0.3986630013455764,True,0.1,catboost,breast-w
0.1,0.5,0.010845491067640342,0.1,0.4,0.1,0.9934063704605396,0.5272987182203519,True,0.1,catboost,breast-w
0.1,0.5,0.012403454512367582,0.1,0.4,0.1,0.9966183574879228,0.40759115091225817,True,0.1,catboost,breast-w
0.05,0.3333333333333333,0.005474804740129476,0.1,0.3,0.05,0.9502174572671185,0.14417413011834737,True,0.05,catboost,breast-w
0.05,0.3333333333333333,0.006260595791548519,0.1,0.3,0.05,0.9844593223777643,0.12750205781228482,True,0.05,catboost,breast-w
0.05,0.3333333333333333,0.0063125341087458915,0.1,0.3,0.05,0.9338768115942029,0.16455996463684217,True,0.05,catboost,breast-w
0.4,1.0,0.020828293942661658,0.4,0.4,0.4,1.0000311729127154,0.0003428223041588185,True,0.4,catboost,car
0.4,1.0,0.023019329857292065,0.4,0.4,0.4,0.9999112406085132,0.0011802877069271966,True,0.4,catboost,car
0.4,1.0,0.019003616637877013,0.4,0.4,0.4,1.0000711449234325,-0.0005313798344777299,True,0.4,catboost,car
0.0,0.16666666666666666,0.0035189965326878903,0.4,0.2,0.05,0.9437283037075239,0.11674886997746899,True,0.0,catboost,car
0.0,0.16666666666666666,0.004000483824399677,0.4,0.2,0.05,0.9428878853981371,0.12679868215750462,True,0.0,catboost,car
0.05,0.3333333333333333,0.0037727129185811206,0.4,0.2,0.05,0.9403437980356617,0.11878141187196975,True,0.05,catboost,car
0.05,0.3333333333333333,0.008737923359535457,0.2,0.05,0.05,0.9026727499231505,0.21957203453228943,True,0.05,catboost,churn
0.05,0.3333333333333333,0.00803574928994591,0.2,0.1,0.05,0.9046334899787123,0.20489856206208454,True,0.05,catboost,churn
0.05,0.3333333333333333,0.007751501012118078,0.2,0.05,0.05,0.8990360571105913,0.16840909926320277,True,0.05,catboost,churn
0.05,0.3333333333333333,0.006188228157828324,0.05,0.2,0.05,0.9139461890663172,0.14890510410390023,True,0.05,catboost,churn
