sel_acc_80,cov_at_risk10,aurc,accuracy,model,family,dataset_id,shift_axis,shift_lambda,status,seed
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,label_noise,0.0,ok,42
0.9397590361445783,0.953757225433526,0.0241940438746138,0.8805394990366089,logreg,linear,car,label_noise,0.05,ok,42
0.9180722891566265,0.8400770712909441,0.03520025753587184,0.838150289017341,logreg,linear,car,label_noise,0.1,ok,42
0.891566265060241,0.7649325626204239,0.044138226956151834,0.8265895953757225,logreg,linear,car,label_noise,0.2,ok,42
0.8963855421686747,0.791907514450867,0.04430880024312968,0.8208092485549133,logreg,linear,car,label_noise,0.3,ok,42
0.8843373493975903,0.7803468208092486,0.04981659524398177,0.8169556840077071,logreg,linear,car,label_noise,0.4,ok,42
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,covariate_shift,0.0,ok,42
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,covariate_shift,0.05,ok,42
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,covariate_shift,0.1,ok,42
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,covariate_shift,0.2,ok,42
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,covariate_shift,0.3,ok,42
0.983132530120482,0.9942196531791907,0.013688684069315794,0.8959537572254336,logreg,linear,car,covariate_shift,0.4,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,label_noise,0.0,ok,42
1.0,1.0,0.0017794724592986588,0.9710982658959537,hist_gbdt,gbdt,car,label_noise,0.05,ok,42
0.9951807228915662,1.0,0.006013765449680946,0.9402697495183044,hist_gbdt,gbdt,car,label_noise,0.1,ok,42
0.9518072289156626,0.9460500963391136,0.023726319415881027,0.8747591522157996,hist_gbdt,gbdt,car,label_noise,0.2,ok,42
0.8867469879518072,0.7475915221579962,0.06257571147000644,0.8285163776493256,hist_gbdt,gbdt,car,label_noise,0.3,ok,42
0.7469879518072289,0.371868978805395,0.15492001722325544,0.697495183044316,hist_gbdt,gbdt,car,label_noise,0.4,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,covariate_shift,0.0,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,covariate_shift,0.05,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,covariate_shift,0.1,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,covariate_shift,0.2,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,covariate_shift,0.3,ok,42
1.0,1.0,7.840282679833084e-05,0.9922928709055877,hist_gbdt,gbdt,car,covariate_shift,0.4,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,label_noise,0.0,ok,42
0.9927710843373494,1.0,0.003859599652997358,0.9595375722543352,xgboost,gbdt,car,label_noise,0.05,ok,42
0.9855421686746988,1.0,0.008635598560586504,0.9402697495183044,xgboost,gbdt,car,label_noise,0.1,ok,42
0.908433734939759,0.8208092485549133,0.04308617267285714,0.8304431599229287,xgboost,gbdt,car,label_noise,0.2,ok,42
0.8289156626506025,0.5009633911368016,0.09853265348965534,0.766859344894027,xgboost,gbdt,car,label_noise,0.3,ok,42
0.6795180722891566,0.09633911368015415,0.21890189941855373,0.649325626204239,xgboost,gbdt,car,label_noise,0.4,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,covariate_shift,0.0,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,covariate_shift,0.05,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,covariate_shift,0.1,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,covariate_shift,0.2,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,covariate_shift,0.3,ok,42
1.0,1.0,0.00037672373938410833,0.9903660886319846,xgboost,gbdt,car,covariate_shift,0.4,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,label_noise,0.0,ok,42
0.9975903614457832,1.0,0.002740588388308168,0.9576107899807321,catboost,gbdt,car,label_noise,0.05,ok,42
0.9951807228915662,1.0,0.005577860341502309,0.9441233140655106,catboost,gbdt,car,label_noise,0.1,ok,42
0.963855421686747,0.9479768786127167,0.018904664670446866,0.8689788053949904,catboost,gbdt,car,label_noise,0.2,ok,42
0.8843373493975903,0.7533718689788054,0.05939842860317707,0.8111753371868978,catboost,gbdt,car,label_noise,0.3,ok,42
0.7518072289156627,0.36608863198458574,0.15841926792246022,0.674373795761079,catboost,gbdt,car,label_noise,0.4,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,covariate_shift,0.0,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,covariate_shift,0.05,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,covariate_shift,0.1,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,covariate_shift,0.2,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,covariate_shift,0.3,ok,42
1.0,1.0,0.0007251872864541515,0.9845857418111753,catboost,gbdt,car,covariate_shift,0.4,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,label_noise,0.0,ok,42
1.0,1.0,0.0008770689131408976,0.9749518304431599,tabicl,icl,car,label_noise,0.05,ok,42
1.0,1.0,0.0009304062513209828,0.9788053949903661,tabicl,icl,car,label_noise,0.1,ok,42
0.9951807228915662,1.0,0.0035865825266648815,0.9633911368015414,tabicl,icl,car,label_noise,0.2,ok,42
0.9927710843373494,1.0,0.007594919813870025,0.9267822736030829,tabicl,icl,car,label_noise,0.3,ok,42
0.9518072289156626,0.9113680154142582,0.024543569215908174,0.8574181117533719,tabicl,icl,car,label_noise,0.4,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,covariate_shift,0.0,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,covariate_shift,0.05,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,covariate_shift,0.1,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,covariate_shift,0.2,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,covariate_shift,0.3,ok,42
1.0,1.0,4.09741462941459e-05,0.9942196531791907,tabicl,icl,car,covariate_shift,0.4,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,label_noise,0.0,ok,42
1.0,1.0,0.0012881328917877372,0.9788053949903661,tabpfn,icl,car,label_noise,0.05,ok,42
1.0,1.0,0.002186527558069743,0.9672447013487476,tabpfn,icl,car,label_noise,0.1,ok,42
0.9951807228915662,1.0,0.0034833096354253417,0.9614643545279383,tabpfn,icl,car,label_noise,0.2,ok,42
0.9879518072289156,1.0,0.009719232635257253,0.9383429672447013,tabpfn,icl,car,label_noise,0.3,ok,42
0.9759036144578314,0.9691714836223507,0.016254628847449028,0.8805394990366089,tabpfn,icl,car,label_noise,0.4,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,covariate_shift,0.0,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,covariate_shift,0.05,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,covariate_shift,0.1,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,covariate_shift,0.2,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,covariate_shift,0.3,ok,42
1.0,1.0,0.00017600221326197955,0.9884393063583815,tabpfn,icl,car,covariate_shift,0.4,ok,42
0.9956521739130435,1.0,0.00393617047931278,0.9756944444444444,logreg,linear,tic-tac-toe,label_noise,0.0,ok,42
0.991304347826087,1.0,0.005709044483579056,0.9791666666666666,logreg,linear,tic-tac-toe,label_noise,0.05,ok,42
0.991304347826087,1.0,0.00447126120781105,0.9756944444444444,logreg,linear,tic-tac-toe,label_noise,0.1,ok,42
0.991304347826087,1.0,0.005469072997055682,0.9652777777777778,logreg,linear,tic-tac-toe,label_noise,0.2,ok,42
0.9869565217391304,1.0,0.0030927165790927327,0.9791666666666666,logreg,linear,tic-tac-toe,label_noise,0.3,ok,42
0.9173913043478261,0.8958333333333334,0.04518718740596711,0.8611111111111112,logreg,linear,tic-tac-toe,label_noise,0.4,ok,42
0.9956521739130435,1.0,0.00393617047931278,0.9756944444444444,logreg,linear,tic-tac-toe,covariate_shift,0.0,ok,42
0.9956521739130435,1.0,0.00393617047931278,0.9756944444444444,logreg,linear,tic-tac-toe,covariate_shift,0.05,ok,42
