model,aure,n_envelopes,aure_categorical_covariate_shift
catboost,0.016666666666666666,3,0.016666666666666666
hist_gbdt,0.0,3,0.0
logreg,0.016666666666666666,3,0.016666666666666666
tabicl,0.016666666666666666,3,0.016666666666666666
tabpfn,0.016666666666666666,3,0.016666666666666666
xgboost,0.0,3,0.0
