dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
car,catboost,gbdt,categorical_covariate_shift,0.0,2586897250,test_only,True,low,True,ok,,0.9788053949903661,0.9990234570350258,0.06655823430283597,0.04801161727951358,0.022979918783197745,0.03383181506095988,0.022979918783197623,0.017291736630670625,1.6425603950755499,0.3134201068993803,0.4774795502703203,1209,xgboost,0.48636557107419304,False,,
car,catboost,gbdt,categorical_covariate_shift,0.05,1067766471,test_only,True,high,True,ok,,0.9421965317919075,0.9763869450361944,0.28288666645768856,0.20405959541605878,0.052344964052825405,0.11603502771455086,0.049813315728350155,0.029399165613685295,0.3562082169055903,1.2439736774662609,0.4113780390960714,1209,xgboost,0.48636557107419304,True,utility_gap,
car,catboost,gbdt,categorical_covariate_shift,0.1,1885504252,test_only,True,high,True,ok,,0.8728323699421965,0.9338047686931161,0.5905185022431028,0.4259690573696513,0.10097855069558996,0.23137496309935945,0.09310457109745507,0.05556677915042839,0.4080604672786241,0.14172617797376824,0.30977009718390675,1209,xgboost,0.48636557107419304,True,utility_gap;ece,
car,catboost,gbdt,categorical_covariate_shift,0.2,2197698047,test_only,True,high,True,ok,,0.8342967244701349,0.8665804642210289,0.8900830326035473,0.6420591885582736,0.1536149086326022,0.31986638667100925,0.14331088366210684,0.07684627802125861,0.34115558795045475,-0.05817497144194534,0.2051069328538778,1209,xgboost,0.48636557107419304,True,utility_gap;ece,
car,catboost,gbdt,categorical_covariate_shift,0.3,2300353037,test_only,True,high,True,ok,,0.7726396917148363,0.8510146534836558,1.199212338372691,0.8650488467715695,0.20634561145230731,0.4263812382078396,0.20275280102687765,0.10518097824458655,0.4370602409215157,-0.9585300339210571,0.11296730615457264,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,catboost,gbdt,categorical_covariate_shift,0.4,3204576500,test_only,True,high,True,ok,,0.7013487475915221,0.7852023690438195,1.5756078443483206,1.136560811713536,0.28308648907333345,0.5676803708348702,0.272634034973249,0.1431852850717277,0.47942662709276496,-1.5552264085812584,-0.017562400024662375,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,hist_gbdt,gbdt,categorical_covariate_shift,0.0,2586897250,test_only,True,low,True,ok,,0.9922928709055877,0.9999892380542402,0.016129245930106288,0.011634791558321419,0.009902520549796168,0.009578449190605146,0.0015336085616840728,0.005623900808865687,1.9603115530352648,-0.8806267153813991,0.4933692223773665,1209,xgboost,0.48636557107419304,False,,
car,hist_gbdt,gbdt,categorical_covariate_shift,0.05,1067766471,test_only,True,high,True,ok,,0.9460500963391136,0.9782048214050222,0.4681121776801857,0.33767155865946863,0.053870697634274,0.10194848883173492,0.044832824435631996,0.02742619101894477,0.1872453087267115,1.0598997924051186,0.37220359481792936,1209,xgboost,0.48636557107419304,True,utility_gap,
car,hist_gbdt,gbdt,categorical_covariate_shift,0.1,1885504252,test_only,True,high,True,ok,,0.884393063583815,0.941085103209132,1.0774762494715027,0.7772348208940882,0.11495061273160191,0.22727546181140665,0.10944451411313673,0.057456173544110666,0.20220991628879117,0.056283768014267564,0.20587817684622156,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,hist_gbdt,gbdt,categorical_covariate_shift,0.2,2197698047,test_only,True,high,True,ok,,0.8342967244701349,0.8727349271943857,1.7519609840999966,1.2637727117960067,0.16375555728579794,0.326647467742145,0.16297608811818776,0.08187311048545555,0.1752765650744944,-0.2547211371620947,0.01871880819259364,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,hist_gbdt,gbdt,categorical_covariate_shift,0.3,2300353037,test_only,True,high,True,ok,,0.7803468208092486,0.8540837421571472,2.335837272567027,1.6849504247280258,0.21633341251126084,0.4365339221706166,0.21376756039088232,0.10966412806475623,0.19341673896123426,-0.7955840199660755,-0.13277047704427108,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
car,hist_gbdt,gbdt,categorical_covariate_shift,0.4,3204576500,test_only,True,high,True,ok,,0.7013487475915221,0.8009890468819266,3.174336821671268,2.2897999953681865,0.2983223229286394,0.5949792046275537,0.2966588896779312,0.14916112858493155,0.23322024647464717,-1.6880748180024705,-0.3610559846487812,1209,xgboost,0.48636557107419304,True,utility_gap;ece;nll,
