model,aure_quantised,aure_continuous,delta
tabicl,0.1125,0.13619215998036008,0.023692159980360075
catboost_tuned,0.10833333333333335,0.1306523486156637,0.022319015282330337
tabpfn_client,0.1125,0.1305901358017442,0.018090135801744192
xgboost_tuned,0.11041666666666668,0.1275463464588359,0.017129679792169214
hist_gbdt,0.09583333333333334,0.10421063604350356,0.008377302710170217
logreg,0.05833333333333334,0.0742917958774413,0.015958462544107953
