summary,role,Ext. primary,Strong arm,Uncapped,Pilot
aure,admissibility,0.0045454545454545,0.0204545454545454,0.0176136363636363,0.0769230769230769
robust_fraction,admissibility,0.0132575757575758,0.0700757575757576,0.0511363636363636,0.0961538461538461
abs_utility_area,admissibility,0.0063381388045675,0.0089070742127492,0.0099578799504728,0.0282328000104824
abs_ece_radius,calibration_tolerance,-0.0545454545454545,-0.0187499999999999,-0.0596590909090908,-0.0076923076923076
self_ref_radius,calibration_tolerance,-0.0323863636363636,-0.0227272727272727,-0.0346590909090909,-0.0076923076923076
utility_drop,calibration_tolerance,-0.0694397505284616,-0.1014642498488253,-0.0597982816706111,-0.0588808933607713
abs_auc_radius,discrimination,0.0511363636363636,0.0494318181818181,0.0624999999999999,0.0499999999999999
auc_retention,discrimination,0.0178358076541189,0.0076940935695397,0.0162173158840307,0.0117736487216217
