basis,summary,role,mean_margin,ci95_lo,ci95_hi,sig
external_3seed_primary,aure,admissibility,0.023958333333333335,0.008016098484848485,0.03832228535353536,True
external_3seed_primary,robust_fraction,admissibility,0.1158459595959596,0.06986531986531987,0.1633049242424242,True
external_3seed_primary,abs_utility_area,admissibility,0.01370912183570342,0.009074326872345917,0.019438417794536554,True
external_3seed_primary,abs_ece_radius,calibration_tolerance,-0.03282828282828283,-0.06035669191919193,-0.0025875946969697115,True
external_3seed_primary,self_ref_radius,calibration_tolerance,-0.014678030303030309,-0.03014520202020202,0.0013904671717171583,False
external_3seed_primary,utility_drop,calibration_tolerance,-0.03116308033461804,-0.06410793798514443,-0.0013639862207567325,True
external_3seed_primary,abs_auc_radius,discrimination,0.09255050505050506,0.07307212752525254,0.11278645833333333,True
external_3seed_primary,auc_retention,discrimination,0.027933401363522372,0.016438200997164247,0.0377154046217488,True
external_strong,aure,admissibility,0.02931818181818182,0.017272727272727276,0.04068181818181818,True
external_strong,robust_fraction,admissibility,0.10568181818181821,0.07575757575757577,0.13258522727272723,True
external_strong,abs_utility_area,admissibility,0.010595605120433216,0.007839502799079532,0.013747103307232502,True
external_strong,abs_ece_radius,calibration_tolerance,-0.006818181818181812,-0.02398011363636364,0.012499999999999999,False
external_strong,self_ref_radius,calibration_tolerance,-0.005909090909090906,-0.019551136363636364,0.00829829545454544,False
external_strong,utility_drop,calibration_tolerance,-0.0445313113542407,-0.07866703355227284,-0.017099248520181735,True
external_strong,abs_auc_radius,discrimination,0.0775,0.058747159090909086,0.09875000000000002,True
external_strong,auc_retention,discrimination,0.02143582945285021,0.012823724358005788,0.030030521783137375,True
external_uncapped,aure,admissibility,0.026893939393939394,0.009372632575757578,0.042897727272727275,True
external_uncapped,robust_fraction,admissibility,0.11521464646464649,0.06848958333333334,0.16414141414141412,True
external_uncapped,abs_utility_area,admissibility,0.013670673182166025,0.00932162910365206,0.018901211070681573,True
external_uncapped,abs_ece_radius,calibration_tolerance,-0.03181818181818181,-0.06051373106060606,-0.00028409090909090046,True
external_uncapped,self_ref_radius,calibration_tolerance,-0.021212121212121213,-0.03816287878787879,-0.0038825757575757635,True
external_uncapped,utility_drop,calibration_tolerance,-0.029795708569759428,-0.06399704031074539,0.0003020429093806347,False
external_uncapped,abs_auc_radius,discrimination,0.09583333333333331,0.07310606060606063,0.11884469696969698,True
external_uncapped,auc_retention,discrimination,0.02656080625688294,0.015010761246923144,0.03754863556672289,True
external_primary,aure,admissibility,0.013825757575757575,-0.006062973484848488,0.03144176136363635,False
external_primary,robust_fraction,admissibility,0.07922979797979798,0.024613320707070716,0.13352272727272727,True
external_primary,abs_utility_area,admissibility,0.009963115654857364,0.005458484680195374,0.015622552354777294,True
external_primary,abs_ece_radius,calibration_tolerance,-0.02869318181818181,-0.054737215909090906,0.000667613636363618,False
external_primary,self_ref_radius,calibration_tolerance,-0.018371212121212125,-0.03579782196969697,-0.0017992424242424304,True
external_primary,utility_drop,calibration_tolerance,-0.037882015998742316,-0.0685764299181518,-0.007371317614692625,True
external_primary,abs_auc_radius,discrimination,0.08428030303030304,0.058610321969696955,0.10843276515151509,True
external_primary,auc_retention,discrimination,0.027989936196198082,0.015311843345097777,0.039176333571116995,True
pilot,aure,admissibility,0.10388888888888889,0.010999999999999987,0.19022222222222224,True
pilot,robust_fraction,admissibility,0.22148148148148153,0.0344444444444445,0.40851851851851856,True
pilot,abs_utility_area,admissibility,0.03269833389770296,0.010355881304699496,0.05713340424838866,True
pilot,abs_ece_radius,calibration_tolerance,0.02811111111111112,-0.03633333333333334,0.09255555555555557,False
pilot,self_ref_radius,calibration_tolerance,0.009388888888888869,-0.022000000000000026,0.045166666666666654,False
pilot,utility_drop,calibration_tolerance,-0.016201192504109774,-0.056261116772715614,0.023055289768512725,False
pilot,abs_auc_radius,discrimination,0.07355555555555555,0.049333333333333326,0.10599999999999996,True
pilot,auc_retention,discrimination,0.01547471171264565,0.011540716088441049,0.019579773350845486,True
