model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabicl,0.1278409090909091,0.12556818181818183,88,0.12916666666666668,0.0682,24
tabpfn,0.11875000000000001,0.12329545454545456,88,0.12083333333333333,0.0909,24
catboost,0.10454545454545455,0.13125,88,0.10625000000000001,0.1364,24
xgboost,0.10227272727272728,0.1494318181818182,88,0.15416666666666667,0.4318,24
hist_gbdt,0.09204545454545454,0.15227272727272728,88,0.13125,0.4318,24
logreg,0.05795454545454545,0.16136363636363638,88,0.09791666666666667,0.4318,24
