aure,robust_fraction,abs_utility_area,abs_ece_radius,abs_auc_radius,self_ref_radius,auc_retention,utility_drop,admitted,rho_grid,model,dataset_id
0.0,0.16666666666666666,0.005,0.0,0.0,0.0,0.7470325976150136,0.4774772547827514,True,0.0,catboost_tuned,GesturePhaseSegmentation
0.1,0.5,0.009102950058028437,0.1,0.0,0.1,0.963667925492128,0.07207829446448424,True,0.1,catboost_tuned,GesturePhaseSegmentation
0.05,0.3333333333333333,0.00847416963569799,0.2,0.2,0.05,0.9289564901896172,0.25834364744124166,True,0.05,catboost_tuned,MiceProtein
0.0,0.16666666666666666,0.006290325512965027,0.0,0.4,0.05,0.996766818808867,0.10909820680103847,True,0.0,catboost_tuned,MiceProtein
0.4,1.0,0.030860454460519316,0.4,0.4,0.4,0.9999205167005419,-0.0010596998845387895,True,0.4,catboost_tuned,PhishingWebsites
0.0,0.16666666666666666,0.004996228537233943,0.05,0.4,0.0,0.9895769028623222,0.15636994508298271,True,0.0,catboost_tuned,PhishingWebsites
0.05,0.3333333333333333,0.009452990541825681,0.1,0.3,0.05,0.9748544349843552,0.3315205669447292,True,0.05,catboost_tuned,analcatdata_authorship
0.0,0.16666666666666666,0.0050000000000000044,0.05,0.4,0.0,0.9996265606065157,0.12058122080667358,True,0.0,catboost_tuned,analcatdata_authorship
0.1,0.5,0.011917776805666821,0.1,0.4,0.1,0.9980386209685573,0.4022614747395713,True,0.1,catboost_tuned,breast-w
0.05,0.3333333333333333,0.006324499866565071,0.1,0.3,0.05,0.9714285714285715,0.13515352922561016,True,0.05,catboost_tuned,breast-w
0.4,1.0,0.018070991442167717,0.4,0.4,0.4,0.9999124811249003,-5.599110136412788e-05,True,0.4,catboost_tuned,car
0.0,0.16666666666666666,0.003004055365171824,0.05,0.3,0.0,0.9794926149715419,0.14059629942105775,True,0.0,catboost_tuned,car
0.05,0.3333333333333333,0.008885833308955723,0.2,0.05,0.05,0.899914575375143,0.23800224859070895,True,0.05,catboost_tuned,churn
0.05,0.3333333333333333,0.006301088690085592,0.05,0.2,0.05,0.9316151701239462,0.15089637167955816,True,0.05,catboost_tuned,churn
0.3,0.8333333333333334,0.03843163665195148,0.4,0.0,0.3,1.0461295418641388,-0.0061570011292805486,True,0.3,catboost_tuned,climate-model-simulation-crashes
0.05,0.3333333333333333,0.008839149241268912,0.1,0.0,0.05,0.8749868351764085,0.1307648878765207,True,0.05,catboost_tuned,climate-model-simulation-crashes
0.0,0.0,0.007405056146511185,0.0,0.1,0.2,0.91367969102931,0.05616827386622793,False,0.0,catboost_tuned,cmc
0.0,0.0,0.007118901203402669,0.0,0.4,0.2,0.9772723342700649,0.028151681400874862,False,0.0,catboost_tuned,cmc
0.0,0.0,0.0030186317875414335,0.0,0.4,0.3,0.9988089607430022,0.01736157505637642,False,0.0,catboost_tuned,cnae-9
0.0,0.0,0.0007857480719098975,0.0,0.4,0.05,0.9940104054693212,0.08570865975882479,False,0.0,catboost_tuned,cnae-9
0.0,0.16666666666666666,0.0050000000000000044,0.2,0.4,0.0,0.9803329223181254,0.06039859102354591,True,0.0,catboost_tuned,credit-approval
0.05,0.3333333333333333,0.015176126486405298,0.05,0.2,0.1,0.9573982737361278,0.07041866184850736,True,0.05,catboost_tuned,credit-approval
0.4,1.0,0.025121669107860404,0.4,0.4,0.4,1.0036595067621321,0.0058539970705675124,True,0.4,catboost_tuned,credit-g
0.1,0.5,0.010674838963167269,0.3,0.1,0.1,0.8855210819411298,0.07652788154532725,True,0.1,catboost_tuned,credit-g
0.05,0.3333333333333333,0.01228907678068312,0.1,0.2,0.1,0.9619505213657739,0.1450137181425561,True,0.05,catboost_tuned,diabetes
