dataset_id,model,family,shift_axis,shift_lambda,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
car,tabicl,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.9942196531791908,0.999980408499956,0.0184560815168834,0.0133132486393251,0.0129584027906434,0.4925404358019369,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.9980732177263968,0.999990204249978,0.0176884087863041,0.0127594898186089,0.0124356203111432,0.4933925831386405,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.9942196531791908,1.0,0.0194149260658661,0.0140049087772254,0.010200115339145,0.4928914522758819,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.9942196531791908,0.9999804084999562,0.0199379145644924,0.0143821652339305,0.0102886022221231,0.4927537209372594,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.9922928709055876,1.0,0.0182444716342734,0.0131606043752028,0.0151659780878407,0.4918625537057091,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.9980732177263968,1.0,0.0164431883301573,0.0118612531301606,0.0117993638122302,0.4937927339574653,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.9903660886319846,0.9999784761084805,0.0236258608938671,0.0170424561741573,0.0140662423595558,0.4906213946086075,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.9845857418111752,0.9998493236050404,0.0299543811849789,0.0216075185942333,0.014841564785016,0.4881845559981672,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.9942196531791908,0.9999892380542402,0.0212720143344032,0.0153445147949812,0.0134815740520915,0.4918295120469499,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.9903660886319846,0.9999632993855786,0.0256882069154786,0.0185301243631452,0.0137908547682541,0.4902248598171558,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.9922928709055876,0.9999481226626769,0.0258476742536435,0.0186451557321224,0.0109148166648664,0.491049263515165,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.9922928709055876,0.9999838570813604,0.0223111313282064,0.0160940792619129,0.0140560217320474,0.4911988524893308,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,label_noise,0.0,train_only,True,low,True,ok,,0.9942196531791908,0.999980408499956,0.0184560815168834,0.0133132486393251,0.0129584027906434,0.4925404358019369,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,label_noise,0.05,train_only,True,low,True,ok,,0.97495183044316,0.9989012490480754,0.0908548858665762,0.0655379466401211,0.0546764211648463,0.4652615435082947,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,label_noise,0.1,train_only,True,low,True,ok,,0.97495183044316,0.999126236229832,0.126497270960298,0.0912484927502047,0.0774373675204003,0.4530749359177736,1209,xgboost_cal,0.4734854435065447,False,,
car,tabicl,icl,label_noise,0.2,train_only,True,low,True,ok,,0.9595375722543352,0.9973300560412502,0.2501395853450505,0.1804375696536629,0.1648890044432555,0.4058870836678378,1209,xgboost_cal,0.4734854435065447,True,utility_gap;ece,
car,tabicl,icl,label_noise,0.3,train_only,True,low,True,ok,,0.9383429672447012,0.9896083137832692,0.4304104816049582,0.3104755336790518,0.2527680078222712,0.3434180932426796,1209,xgboost_cal,0.4734854435065447,True,utility_gap;ece,
car,tabicl,icl,label_noise,0.4,train_only,True,low,True,ok,,0.8766859344894027,0.9712348707011248,0.6189910719791224,0.4465076749494117,0.2981270962958866,0.2778573731748033,1209,xgboost_cal,0.4734854435065447,True,utility_gap;ece,
car,tabpfn_client,icl,label_noise,0.0,train_only,True,low,True,ok,,0.9903660886319846,0.9999784761084805,0.0236258608938671,0.0170424561741573,0.0140662423595558,0.4906213946086075,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,label_noise,0.05,train_only,True,low,True,ok,,0.9845857418111752,0.9984175988668714,0.0978817687948724,0.0706067712169013,0.0523850190559859,0.4654749856988137,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,label_noise,0.1,train_only,True,low,True,ok,,0.9672447013487476,0.9977471200992816,0.1554573230338594,0.1121387545054113,0.0805690141932305,0.4445427680467911,1209,xgboost_cal,0.4734854435065447,False,,
car,tabpfn_client,icl,label_noise,0.2,train_only,True,low,True,ok,,0.9653179190751444,0.9971824451584091,0.2718691155958778,0.1961121124205206,0.1714657170324041,0.4006847665340778,1209,xgboost_cal,0.4734854435065447,True,utility_gap;ece,
car,tabpfn_client,icl,label_noise,0.3,train_only,True,low,True,ok,,0.9402697495183044,0.988882181718491,0.4404805311508561,0.3177395389497384,0.2629431082032348,0.3392387427036489,1209,xgboost_cal,0.4734854435065447,True,utility_gap;ece,
car,tabpfn_client,icl,label_noise,0.4,train_only,True,low,True,ok,,0.8689788053949904,0.9752871116368472,0.6308700353573811,0.4550765357277693,0.3295085189791365,0.2692726453679869,1209,xgboost_cal,0.4734854435065447,True,utility_gap;ece,
churn,tabicl,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.9713333333333334,0.9183427575295908,0.1212431644518947,0.1749169120964335,0.0103594861513623,0.4125729942761542,3500,catboost_cal,0.3945644947673971,False,,
churn,tabicl,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.9486666666666668,0.9116756269776164,0.1847997086239532,0.2666096231895027,0.037477414948914,0.373908099495532,3500,catboost_cal,0.3945644947673971,False,,
churn,tabicl,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.9106666666666666,0.8778016231102778,0.2469408108475972,0.356260283202928,0.024332985994705,0.3320858859287778,3500,catboost_cal,0.3945644947673971,True,utility_gap,
churn,tabicl,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.808,0.8016725506855737,0.4643582018677763,0.6699272750307571,0.0854540096444204,0.1837164083018396,3500,catboost_cal,0.3945644947673971,True,utility_gap,
churn,tabicl,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.714,0.7555208455408414,0.6255610665054036,0.9024938484205568,0.1442955367459698,0.0719250340639334,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece;nll,
churn,tabicl,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.5606666666666666,0.700451555724833,0.9291650543128548,1.34050181602448,0.273581314954163,-0.127608763294485,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece;nll,
churn,tabpfn_client,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.9746666666666668,0.9263704148599556,0.1161661343594272,0.1675923059595866,0.0134761722358689,0.4174567189659346,3500,catboost_cal,0.3945644947673971,False,,
churn,tabpfn_client,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.9453333333333334,0.914369213641158,0.1688606917562765,0.2436144825978601,0.0138052457306478,0.3859838308489177,3500,catboost_cal,0.3945644947673971,False,,
churn,tabpfn_client,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.9046666666666666,0.8663167994843549,0.2609286205337455,0.3764404268700327,0.043616258926311,0.3172554999732522,3500,catboost_cal,0.3945644947673971,True,utility_gap,
churn,tabpfn_client,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.8106666666666666,0.7822900796906128,0.5055299310490143,0.7293255245453526,0.1132326427059035,0.1539573419869279,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece,
churn,tabpfn_client,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.6733333333333333,0.7046210301183641,0.9318085817964632,1.3443156200155355,0.2433870259899448,-0.1043547306612222,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece;nll,
churn,tabpfn_client,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.5333333333333333,0.6740522090706669,1.181087703187342,1.703949372243314,0.3626395955138392,-0.2677944576010287,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece;nll,
churn,tabicl,icl,label_noise,0.0,train_only,True,low,True,ok,,0.9713333333333334,0.9183427575295908,0.1212431644518947,0.1749169120964335,0.0103594861513623,0.4125729942761542,3500,catboost_cal,0.3945644947673971,False,,
churn,tabicl,icl,label_noise,0.05,train_only,True,low,True,ok,,0.9586666666666668,0.911250805695535,0.1569996438318358,0.2265026075775231,0.0408177488554209,0.386623449949096,3500,catboost_cal,0.3945644947673971,False,,
churn,tabicl,icl,label_noise,0.1,train_only,True,low,True,ok,,0.9473333333333334,0.9135433757178016,0.2097672165948735,0.3026301231225051,0.0825371051977698,0.3545437235249249,3500,catboost_cal,0.3945644947673971,True,utility_gap,
churn,tabicl,icl,label_noise,0.2,train_only,True,low,True,ok,,0.9386666666666666,0.8956038321809445,0.308580211626313,0.4451871410297487,0.1625731047258845,0.288190578009229,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece,
churn,tabicl,icl,label_noise,0.3,train_only,True,low,True,ok,,0.9033333333333332,0.8558189528887847,0.438215502202586,0.6322113318683376,0.225092780963556,0.2003546777578621,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece,
churn,tabicl,icl,label_noise,0.4,train_only,True,low,True,ok,,0.7993333333333333,0.5836495077932732,0.6096291967855507,0.8795090189836361,0.2313375866798079,0.0140571046965931,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece;nll,
churn,tabpfn_client,icl,label_noise,0.0,train_only,True,low,True,ok,,0.9746666666666668,0.9263704148599556,0.1161661343594272,0.1675923059595866,0.0134761722358689,0.4174567189659346,3500,catboost_cal,0.3945644947673971,False,,
churn,tabpfn_client,icl,label_noise,0.05,train_only,True,low,True,ok,,0.97,0.9148489687097152,0.1426516300507794,0.2058027992489865,0.0434051980697006,0.3952752596597642,3500,catboost_cal,0.3945644947673971,False,,
churn,tabpfn_client,icl,label_noise,0.1,train_only,True,low,True,ok,,0.9513333333333334,0.9110768487050276,0.1988165166899567,0.2868316026754184,0.0801884018778921,0.3594897358685557,3500,catboost_cal,0.3945644947673971,True,utility_gap,
churn,tabpfn_client,icl,label_noise,0.2,train_only,True,low,True,ok,,0.9473333333333334,0.9069385034571662,0.2932224204125344,0.4230305318066222,0.1670320287127635,0.2992129109254687,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece,
churn,tabpfn_client,icl,label_noise,0.3,train_only,True,low,True,ok,,0.9073333333333332,0.8697849525372084,0.4323223446015289,0.6237093026221153,0.2256646888443401,0.2082790048325203,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece,
churn,tabpfn_client,icl,label_noise,0.4,train_only,True,low,True,ok,,0.86,0.7174517315129498,0.578257371112381,0.834249041661321,0.278281204305666,0.0741771526700029,3500,catboost_cal,0.3945644947673971,True,utility_gap;ece;nll,
credit-approval,tabicl,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.8502415458937198,0.9159735349716446,0.3636254037973833,0.5246005667997318,0.0506442535553583,0.2806179483731423,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabicl,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.855072463768116,0.9175803402646504,0.361678883693278,0.5217923318985485,0.0687701249658992,0.2791222640951006,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabicl,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.8502415458937198,0.9193761814744802,0.3827452249624292,0.5521846379772273,0.0751020708255432,0.2686420898418492,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabicl,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.8502415458937198,0.912476370510397,0.4194008222406097,0.6050674863912814,0.0791257386195315,0.2495575679214062,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabicl,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.855072463768116,0.9141776937618148,0.4373628669744875,0.6309812392530726,0.0775150771264074,0.2434256751806493,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabicl,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.8502415458937198,0.9130434782608696,0.4530154433505238,0.6535631335679158,0.0725603927791389,0.2365204306491597,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabpfn_client,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.8502415458937198,0.9175803402646504,0.366507545246112,0.5287586179749532,0.0524152768648289,0.2795787102112337,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabpfn_client,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.8502415458937198,0.9165406427221172,0.3771423813701424,0.5441014433117586,0.0677504743827879,0.2715449289667137,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabpfn_client,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.8502415458937198,0.9137996219281664,0.4045663665386767,0.5836658907158156,0.0844396099920057,0.2553784103457703,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabpfn_client,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.8502415458937198,0.911531190926276,0.4395118672453568,0.6340815912867247,0.0865831393253473,0.2390310434571676,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabpfn_client,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.8454106280193237,0.90765595463138,0.469850771895244,0.6778513785711201,0.0895707498403647,0.2232216147844725,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabpfn_client,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.8502415458937198,0.9052930056710776,0.4955140888496867,0.7148757186740563,0.08343944633578,0.2132381789995622,483,catboost_cal,0.2897847195374508,True,utility_gap,
credit-approval,tabicl,icl,label_noise,0.0,train_only,True,low,True,ok,,0.8502415458937198,0.9159735349716446,0.3636254037973833,0.5246005667997318,0.0506442535553583,0.2806179483731423,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabicl,icl,label_noise,0.05,train_only,True,low,True,ok,,0.8502415458937198,0.9164461247637052,0.3549177462770364,0.5120380724773679,0.0484918130212375,0.2849825912038968,483,catboost_cal,0.2897847195374508,False,,
credit-approval,tabicl,icl,label_noise,0.1,train_only,True,low,True,ok,,0.8647342995169082,0.9279773156899812,0.3456103664863859,0.4986103618097261,0.0684327405897032,0.291232548758171,483,catboost_cal,0.2897847195374508,False,,
