model,cell,in_common,rho_grid,rho_self
logreg,"('pc1', 'covariate_shift')",False,0.0,0.2
logreg,"('pc1', 'label_noise')",False,0.0,0.05
logreg,"('splice', 'covariate_shift')",True,0.4,0.4
logreg,"('splice', 'label_noise')",True,0.0,0.05
logreg,"('steel-plates-fault', 'covariate_shift')",True,0.05,0.05
logreg,"('steel-plates-fault', 'label_noise')",True,0.0,0.0
logreg,"('vehicle', 'covariate_shift')",False,0.1,0.1
logreg,"('vehicle', 'label_noise')",False,0.05,0.05
logreg,"('wdbc', 'covariate_shift')",True,0.05,0.05
logreg,"('wdbc', 'label_noise')",True,0.05,0.0
tabicl,"('car', 'covariate_shift')",False,0.4,0.4
tabicl,"('car', 'label_noise')",False,0.05,0.05
tabicl,"('churn', 'covariate_shift')",False,0.0,0.05
tabicl,"('churn', 'label_noise')",False,0.0,0.0
tabicl,"('credit-approval', 'covariate_shift')",False,0.1,0.1
tabicl,"('credit-approval', 'label_noise')",False,0.1,0.1
tabicl,"('credit-g', 'covariate_shift')",False,0.4,0.4
tabicl,"('credit-g', 'label_noise')",False,0.1,0.1
tabicl,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
tabicl,"('eucalyptus', 'label_noise')",False,0.05,0.05
tabicl,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
tabicl,"('kr-vs-kp', 'label_noise')",False,0.0,0.0
tabicl,"('optdigits', 'covariate_shift')",True,0.05,0.05
tabicl,"('optdigits', 'label_noise')",True,0.1,0.1
tabicl,"('pc1', 'covariate_shift')",False,0.0,0.0
tabicl,"('pc1', 'label_noise')",False,0.05,0.05
tabicl,"('splice', 'covariate_shift')",True,0.4,0.4
tabicl,"('splice', 'label_noise')",True,0.1,0.05
tabicl,"('steel-plates-fault', 'covariate_shift')",True,0.0,0.0
tabicl,"('steel-plates-fault', 'label_noise')",True,0.05,0.05
tabicl,"('vehicle', 'covariate_shift')",False,0.1,0.0
tabicl,"('vehicle', 'label_noise')",False,0.1,0.05
tabicl,"('wdbc', 'covariate_shift')",True,0.05,0.0
tabicl,"('wdbc', 'label_noise')",True,0.1,0.0
tabpfn_client,"('car', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('car', 'label_noise')",False,0.05,0.05
tabpfn_client,"('churn', 'covariate_shift')",False,0.05,0.05
tabpfn_client,"('churn', 'label_noise')",False,0.05,0.05
