model,aure_grid,aure_self,n_cells,aure_common,lambda0_fail_rate,n_common
tabpfn_client,0.1125,0.10416666666666667,24,0.09375,0.0,8
tabicl,0.1125,0.10000000000000002,24,0.10625000000000001,0.0,8
xgboost_tuned,0.11041666666666666,0.11666666666666668,24,0.125,0.0833,8
catboost_tuned,0.10833333333333334,0.1125,24,0.11875000000000001,0.0,8
hist_gbdt,0.09583333333333334,0.14375000000000002,24,0.16875,0.4167,8
logreg,0.05833333333333334,0.125,24,0.09375,0.3333,8
