model,cell,in_common,rho_grid,rho_self
catboost,"('kc1', 'label_noise')",False,0.05,0.05
catboost,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
catboost,"('kr-vs-kp', 'label_noise')",False,0.0,0.0
catboost,"('mfeat-factors', 'covariate_shift')",True,0.1,0.1
catboost,"('mfeat-factors', 'label_noise')",True,0.05,0.05
catboost,"('mfeat-fourier', 'covariate_shift')",True,0.1,0.1
catboost,"('mfeat-fourier', 'label_noise')",True,0.1,0.1
catboost,"('mfeat-karhunen', 'covariate_shift')",True,0.1,0.1
catboost,"('mfeat-karhunen', 'label_noise')",True,0.05,0.05
catboost,"('mfeat-morphological', 'covariate_shift')",False,0.0,0.1
catboost,"('mfeat-morphological', 'label_noise')",False,0.0,0.2
catboost,"('mfeat-zernike', 'covariate_shift')",False,0.1,0.1
catboost,"('mfeat-zernike', 'label_noise')",False,0.1,0.1
catboost,"('optdigits', 'covariate_shift')",True,0.1,0.1
catboost,"('optdigits', 'label_noise')",True,0.05,0.05
catboost,"('ozone-level-8hr', 'covariate_shift')",False,0.1,0.1
catboost,"('ozone-level-8hr', 'label_noise')",False,0.05,0.05
catboost,"('pc1', 'covariate_shift')",False,0.0,0.0
catboost,"('pc1', 'label_noise')",False,0.0,0.0
catboost,"('pc3', 'covariate_shift')",False,0.05,0.05
catboost,"('pc3', 'label_noise')",False,0.05,0.05
catboost,"('pc4', 'covariate_shift')",False,0.0,0.0
catboost,"('pc4', 'label_noise')",False,0.05,0.05
catboost,"('pendigits', 'covariate_shift')",True,0.1,0.1
catboost,"('pendigits', 'label_noise')",True,0.05,0.05
catboost,"('phoneme', 'covariate_shift')",False,0.0,0.0
catboost,"('phoneme', 'label_noise')",False,0.05,0.05
catboost,"('qsar-biodeg', 'covariate_shift')",False,0.0,0.0
catboost,"('qsar-biodeg', 'label_noise')",False,0.05,0.05
catboost,"('satimage', 'covariate_shift')",False,0.05,0.05
catboost,"('satimage', 'label_noise')",False,0.05,0.05
catboost,"('segment', 'covariate_shift')",False,0.0,0.0
catboost,"('segment', 'label_noise')",False,0.05,0.05
catboost,"('spambase', 'covariate_shift')",False,0.0,0.0
catboost,"('spambase', 'label_noise')",False,0.05,0.05
catboost,"('splice', 'covariate_shift')",True,0.4,0.4
catboost,"('splice', 'label_noise')",True,0.05,0.05
catboost,"('steel-plates-fault', 'covariate_shift')",True,0.4,0.4
