aure,robust_fraction,abs_utility_area,abs_ece_radius,abs_auc_radius,self_ref_radius,auc_retention,utility_drop,admitted,rho_grid,model,dataset_id
0.0,0.16666666666666666,0.004682991677195492,0.2,0.1,0.0,0.9377797232827071,0.20155583132405122,True,0.0,catboost,PhishingWebsites
0.0,0.16666666666666666,0.004890490760804038,0.2,0.1,0.0,0.934817029589658,0.22093186697579242,True,0.0,catboost,PhishingWebsites
0.0,0.16666666666666666,0.0049816425729541924,0.2,0.1,0.0,0.9349291580424056,0.213070972959565,True,0.0,catboost,PhishingWebsites
0.0,0.16666666666666666,0.0035189965326878903,0.05,0.05,0.0,0.8834605773071642,0.27314755521756706,True,0.0,catboost,car
0.0,0.16666666666666666,0.004000483824399677,0.1,0.05,0.0,0.8850630399948857,0.26612815705094056,True,0.0,catboost,car
0.0,0.16666666666666666,0.003093466684857595,0.1,0.05,0.0,0.8712046347350169,0.2786309136512595,True,0.0,catboost,car
0.05,0.3333333333333333,0.007998892416628137,0.4,0.1,0.05,0.9478142341730169,0.09741296495715175,True,0.05,catboost,churn
0.0,0.16666666666666666,0.004999999999999995,0.4,0.1,0.0,0.9336626902839701,0.10380117997270458,True,0.0,catboost,churn
0.05,0.3333333333333333,0.007052749890438109,0.4,0.1,0.05,0.9524739856416875,0.10420077636215508,True,0.05,catboost,churn
0.0,0.0,0.016406369735976898,0.0,0.0,0.05,0.9640099975557792,0.028236648130303882,False,0.0,catboost,cmc
0.0,0.0,0.02067896897727185,0.0,0.2,0.3,0.9693867677692392,0.02146788085881152,False,0.0,catboost,cmc
0.0,0.0,0.017297354761980268,0.0,0.0,0.1,0.9760349784340636,0.01854969380295734,False,0.0,catboost,cmc
0.05,0.3333333333333333,0.008794036021974427,0.4,0.2,0.05,0.9567567567567569,0.06490957741299089,True,0.05,catboost,credit-approval
0.05,0.3333333333333333,0.006350865650093009,0.4,0.2,0.05,0.9477742448330682,0.07947917571080076,True,0.05,catboost,credit-approval
0.05,0.3333333333333333,0.005131647119841219,0.2,0.1,0.05,0.9311945800538011,0.1126574031793424,True,0.05,catboost,credit-approval
0.2,0.6666666666666666,0.015234005220122892,0.4,0.2,0.2,0.9497460254634211,0.028858378433915054,True,0.2,catboost,credit-g
0.05,0.3333333333333333,0.007728028125973498,0.4,0.1,0.1,0.9287556545810546,0.04431851647412198,True,0.05,catboost,credit-g
0.1,0.5,0.018523371043779834,0.4,0.2,0.2,0.963860677527094,0.01645963517097062,True,0.1,catboost,credit-g
0.0,0.16666666666666666,0.004999999999999995,0.1,0.1,0.0,0.9283417538070919,0.20917276180492445,True,0.0,catboost,dna
0.0,0.16666666666666666,0.00469712476243736,0.2,0.1,0.0,0.9276764413747541,0.20249439694580432,True,0.0,catboost,dna
0.0,0.16666666666666666,0.0050000000000000044,0.1,0.1,0.0,0.9261650293948464,0.21419513189998077,True,0.0,catboost,dna
0.0,0.0,0.02164410565740525,0.4,0.3,0.4,0.9828667413213885,0.0100270732111137,False,0.0,catboost,dresses-sales
0.0,0.0,0.011161232472352683,0.0,0.1,0.0,0.9101249999999999,0.03294489551768498,False,0.0,catboost,dresses-sales
0.0,0.0,0.02109501315876808,0.4,0.1,0.1,0.9480600396488248,0.016771406332217423,False,0.0,catboost,dresses-sales
0.0,0.3333333333333333,0.029489354207748564,0.0,0.4,0.4,0.9965233440618151,0.0006127749507017222,False,0.0,catboost,eucalyptus
0.0,0.3333333333333333,0.043166405477261416,0.0,0.4,0.4,1.0069510917058957,-0.0157996865727137,False,0.0,catboost,eucalyptus
0.0,0.6666666666666666,0.03696022697593795,0.0,0.4,0.4,1.0031912663309601,-0.008352272371125541,False,0.0,catboost,eucalyptus
0.0,0.0,0.013844307683102791,0.0,0.4,0.4,0.9741661070069398,0.01938683078027665,False,0.0,catboost,ilpd
0.05,0.8333333333333334,0.025904975393818436,0.05,0.4,0.4,0.995670274771024,0.004914029527417874,True,0.05,catboost,ilpd
0.0,0.5,0.033134442368812175,0.4,0.4,0.4,1.0041973171787106,-0.003761330842574609,True,0.0,catboost,ilpd
0.0,0.16666666666666666,0.004077427133739829,0.1,0.05,0.0,0.8626947026913886,0.33331006807092967,True,0.0,catboost,kr-vs-kp
0.0,0.16666666666666666,0.004280382838389228,0.1,0.05,0.0,0.8517155388143383,0.35620423665384904,True,0.0,catboost,kr-vs-kp
